time_s,latency_ns,mismatch
0.000507972,507.972,0
0.000843882,335.910,0
0.001179408,335.526,0
0.001514910,335.502,0
0.001850418,335.508,0
0.002185932,335.514,0
0.002524596,338.664,0
0.002860092,335.496,0
0.003198672,338.580,0
0.003537234,338.562,0
0.003875904,338.670,0
0.004211406,335.502,0
0.004546950,335.544,0
0.004882446,335.496,0
0.005217936,335.490,0
0.005553420,335.484,0
0.005888928,335.508,0
0.006224364,335.436,0
0.006559848,335.484,0
0.006898560,338.712,0
0.007234038,335.478,0
0.007569456,335.418,0
0.007904904,335.448,0
0.008243526,338.622,0
0.008578920,335.394,0
0.008914410,335.490,0
0.009249852,335.442,0
0.009585354,335.502,0
0.009943134,357.780,0
0.010278678,335.544,0
0.010614174,335.496,0
0.010949622,335.448,0
0.011285112,335.490,0
0.011621448,336.336,0
0.011957088,335.640,0
0.012292614,335.526,0
0.012628122,335.508,0
0.012963630,335.508,0
0.013299060,335.430,0
0.013634598,335.538,0
0.013970058,335.460,0
0.014308806,338.748,0
0.014647494,338.688,0
0.014983038,335.544,0
0.015318540,335.502,0
0.015654042,335.502,0
0.015989592,335.550,0
0.016325184,335.592,0
0.016663818,338.634,0
0.016999248,335.430,0
0.017334768,335.520,0
0.017670276,335.508,0
0.018005748,335.472,0
0.018341196,335.448,0
0.018676626,335.430,0
0.019012164,335.538,0
0.019347684,335.520,0
0.019708158,360.474,0
0.020043726,335.568,0
0.020379180,335.454,0
0.020714640,335.460,0
0.021050142,335.502,0
0.021385590,335.448,0
0.021721080,335.490,0
0.022056498,335.418,0
0.022391994,335.496,0
0.022728060,336.066,0
0.023063604,335.544,0
0.023399082,335.478,0
0.023734578,335.496,0
0.024070080,335.502,0
0.024405570,335.490,0
0.024741084,335.514,0
0.025076562,335.478,0
0.025411998,335.436,0
0.025747410,335.412,0
0.026086026,338.616,0
0.026424720,338.694,0
0.026760234,335.514,0
0.027095622,335.388,0
0.027431112,335.490,0
0.027766566,335.454,0
0.028102062,335.496,0
0.028437492,335.430,0
0.028772988,335.496,0
0.029108472,335.484,0
0.029444310,335.838,0
0.029779800,335.490,0
0.030115338,335.538,0
0.030450816,335.478,0
0.030786324,335.508,0
0.031121778,335.454,0
0.031457238,335.460,0
0.031795836,338.598,0
0.032131296,335.460,0
0.032466744,335.448,0
0.032802186,335.442,0
0.033137646,335.460,0
0.033473094,335.448,0
0.033809166,336.072,0
