time_s,latency_ns,mismatch
0.000002370,2370.000,0
0.000003888,1518.000,0
0.000005316,1428.000,0
0.000006696,1380.000,0
0.000008100,1404.000,0
0.000009474,1374.000,0
0.000010932,1458.000,0
0.000012342,1410.000,0
0.000013782,1440.000,0
0.000015198,1416.000,0
0.000016596,1398.000,0
0.000017970,1374.000,0
0.000019398,1428.000,0
0.000020778,1380.000,0
0.000022152,1374.000,0
0.000023562,1410.000,0
0.000024924,1362.000,0
0.000026298,1374.000,0
0.000027684,1386.000,0
0.000029136,1452.000,0
0.000030528,1392.000,0
0.000031962,1434.000,0
0.000033378,1416.000,0
0.000034764,1386.000,0
0.000036138,1374.000,0
0.000037512,1374.000,0
0.000038910,1398.000,0
0.000040278,1368.000,0
0.000041712,1434.000,0
0.000043080,1368.000,0
0.000044472,1392.000,0
0.000045888,1416.000,0
0.000047346,1458.000,0
0.000048732,1386.000,0
0.000050142,1410.000,0
0.000051546,1404.000,0
0.000052986,1440.000,0
0.000054378,1392.000,0
0.000055782,1404.000,0
0.000057228,1446.000,0
0.000058596,1368.000,0
0.000060018,1422.000,0
0.000061440,1422.000,0
0.000062868,1428.000,0
0.000064272,1404.000,0
0.000065676,1404.000,0
0.000067068,1392.000,0
0.000068520,1452.000,0
0.000069918,1398.000,0
0.000071340,1422.000,0
0.000072714,1374.000,0
0.000074094,1380.000,0
0.000075498,1404.000,0
0.000076938,1440.000,0
0.000078330,1392.000,0
0.000079722,1392.000,0
0.000081126,1404.000,0
0.000082536,1410.000,0
0.000083928,1392.000,0
0.000085338,1410.000,0
0.000086748,1410.000,0
0.000088128,1380.000,0
0.000089526,1398.000,0
0.000090936,1410.000,0
0.000092310,1374.000,0
0.000093690,1380.000,0
0.000095082,1392.000,0
0.000096474,1392.000,0
0.000097878,1404.000,0
0.000099324,1446.000,0
0.000100740,1416.000,0
0.000102192,1452.000,0
0.000103644,1452.000,0
0.000105090,1446.000,0
0.000106494,1404.000,0
0.000107910,1416.000,0
0.000109308,1398.000,0
0.000110712,1404.000,0
0.000112104,1392.000,0
0.000113478,1374.000,0
0.000114876,1398.000,0
0.000116286,1410.000,0
0.000117666,1380.000,0
0.000119058,1392.000,0
0.000120474,1416.000,0
0.000121860,1386.000,0
0.000123264,1404.000,0
0.000124674,1410.000,0
0.000126084,1410.000,0
0.000127500,1416.000,0
0.000128886,1386.000,0
0.000130278,1392.000,0
0.000131682,1404.000,0
0.000133050,1368.000,0
0.000134454,1404.000,0
0.000135894,1440.000,0
0.000137304,1410.000,0
0.000138768,1464.000,0
0.000140148,1380.000,0
0.000141558,1410.000,0
0.000142950,1392.000,0
0.000145248,2298.000,0
0.000146856,1608.000,0
0.000148272,1416.000,0
0.000149670,1398.000,0
0.000151086,1416.000,0
0.000152502,1416.000,0
0.000153924,1422.000,0
0.000155292,1368.000,0
0.000156684,1392.000,0
0.000158100,1416.000,0
0.000159492,1392.000,0
0.000160932,1440.000,0
0.000162348,1416.000,0
0.000163782,1434.000,0
0.000165192,1410.000,0
0.000166608,1416.000,0
0.000168024,1416.000,0
0.000169446,1422.000,0
0.000170868,1422.000,0
0.000172236,1368.000,0
0.000173640,1404.000,0
0.000175008,1368.000,0
0.000176388,1380.000,0
0.000177756,1368.000,0
0.000179136,1380.000,0
0.000180534,1398.000,0
0.000181920,1386.000,0
0.000183306,1386.000,0
0.000184674,1368.000,0
0.000186078,1404.000,0
0.000187470,1392.000,0
0.000188904,1434.000,0
0.000190272,1368.000,0
0.000191670,1398.000,0
0.000193038,1368.000,0
0.000194442,1404.000,0
0.000195852,1410.000,0
0.000197226,1374.000,0
0.000198654,1428.000,0
0.000200046,1392.000,0
0.000201486,1440.000,0
0.000202878,1392.000,0
0.000204282,1404.000,0
0.000205716,1434.000,0
0.000207144,1428.000,0
0.000208554,1410.000,0
0.000209964,1410.000,0
0.000211398,1434.000,0
0.000212820,1422.000,0
0.000214224,1404.000,0
0.000215670,1446.000,0
0.000217074,1404.000,0
0.000218442,1368.000,0
0.000219834,1392.000,0
0.000221226,1392.000,0
0.000222636,1410.000,0
0.000224028,1392.000,0
0.000225414,1386.000,0
0.000226836,1422.000,0
0.000228246,1410.000,0
0.000229626,1380.000,0
0.000231018,1392.000,0
0.000232428,1410.000,0
0.000233844,1416.000,0
0.000235236,1392.000,0
0.000236604,1368.000,0
0.000238008,1404.000,0
0.000239448,1440.000,0
0.000240900,1452.000,0
0.000242322,1422.000,0
0.000243726,1404.000,0
0.000245142,1416.000,0
0.000246564,1422.000,0
0.000247992,1428.000,0
0.000249402,1410.000,0
0.000250854,1452.000,0
0.000252252,1398.000,0
0.000253668,1416.000,0
0.000255066,1398.000,0
0.000256482,1416.000,0
0.000257940,1458.000,0
0.000259350,1410.000,0
0.000260754,1404.000,0
0.000262188,1434.000,0
0.000263586,1398.000,0
0.000264954,1368.000,0
0.000266346,1392.000,0
0.000267774,1428.000,0
