time_h,avg_ns
0.000009317,335.410
0.000018624,335.069
0.000027948,335.654
0.000048371,735.236
0.000057673,334.841
0.000066993,335.520
0.000076291,334.753
0.000091153,535.023
0.000108827,636.277
0.000129251,735.243
0.000146895,635.183
0.000167315,735.136
0.000184962,635.272
0.000205377,734.970
0.000223021,635.167
0.000235109,435.177
0.000244434,335.686
0.000253759,335.703
0.000263124,337.160
0.000272467,336.345
0.000287363,536.227
0.000305004,635.108
0.000325423,735.057
0.000345849,735.362
0.000360709,534.962
0.000381130,735.151
0.000401568,735.747
0.000410871,334.936
0.000420233,337.014
0.000429562,335.861
0.000438861,334.764
0.000453757,536.242
0.000471399,635.106
0.000480698,334.758
0.000489999,334.853
0.000499295,334.639
0.000508596,334.833
0.000517902,335.036
0.000535546,635.172
0.000553187,635.097
0.000562492,334.976
0.000571790,334.725
0.000581101,335.200
0.000590458,336.839
0.000608100,635.093
0.000622968,535.255
0.000632266,334.743
0.000641601,336.044
0.000650902,334.845
0.000660219,335.396
0.000677861,635.124
0.000698286,735.306
0.000715925,634.999
0.000736341,734.964
0.000745640,334.766
0.000754961,335.578
0.000764258,334.671
0.000776340,434.975
0.000796758,735.026
0.000814397,635.009
0.000834828,735.516
0.000844147,335.504
0.000853484,336.111
0.000862779,334.644
0.000872079,334.801
0.000881410,335.904
0.000896274,535.117
0.000913932,635.682
0.000926018,435.094
0.000935316,334.731
0.000944616,334.777
0.000953960,336.387
0.000966070,435.959
0.000983711,635.092
0.001004304,741.339
0.001021942,634.987
0.001042369,735.344
0.001060039,636.145
0.001080474,735.650
0.001103701,836.155
0.001118565,535.135
0.001136207,635.099
0.001145514,335.037
0.001154838,335.667
0.001164164,335.753
0.001173480,335.371
0.001188346,535.185
0.001208765,735.060
0.001226420,635.593
0.001244059,635.002
0.001264487,735.397
0.001282131,635.188
0.001299770,635.022
0.001322970,835.179
0.001332270,334.830
0.001341600,335.863
0.001350899,334.755
0.001368537,634.982
0.001383412,535.493
0.001403834,735.196
0.001413156,335.609
0.001422476,335.487
0.001431782,335.034
0.001443862,434.873
0.001467063,835.256
0.001484706,635.116
0.001502376,636.119
0.001511688,335.261
0.001521014,335.718
0.001530336,335.591
0.001539667,335.917
0.001549008,336.280
0.001563873,535.141
0.001584301,735.417
0.001593623,335.590
0.001602972,336.561
0.001612303,335.918
0.001621620,335.414
0.001639266,635.236
0.001654131,535.144
0.001663427,334.675
0.001672731,334.921
0.001682077,336.466
0.001691376,334.751
0.001700745,337.297
0.001718409,635.900
0.001736051,635.100
0.001745355,334.974
0.001754678,335.616
0.001764006,335.792
0.001773348,336.317
0.001788216,535.242
0.001811539,839.631
0.001826555,540.577
0.001844194,634.999
0.001864621,735.391
0.001882266,635.211
0.001897131,535.143
0.001906430,334.774
0.001915730,334.791
0.001925025,334.641
0.001934332,335.035
0.001943660,335.805
0.001964087,735.365
0.001978951,535.108
0.001988269,335.470
0.001997568,334.744
0.002006868,334.811
0.002016182,335.302
0.002033859,636.371
0.002054278,735.087
0.002069153,535.485
0.002089575,735.216
0.002107218,635.147
0.002124864,635.228
0.002145287,735.255
0.002165703,734.958
0.002178238,451.264
0.002187799,344.213
0.002197122,335.603
0.002206434,335.259
0.002218542,435.871
0.002241744,835.269
0.002259385,635.092
0.002268680,334.611
0.002277979,334.744
0.002287275,334.660
0.002296573,334.727
0.002319774,835.261
0.002337416,635.116
0.002355060,635.180
0.002367148,435.152
0.002376473,335.689
0.002385792,335.513
0.002395094,334.857
0.002404395,334.851
0.002416478,434.966
0.002436904,735.360
0.002449012,435.866
0.002458315,334.905
0.002467641,335.743
0.002476959,335.458
0.002489081,436.377
0.002506722,635.087
0.002527140,735.054
0.002547565,735.285
0.002562427,535.046
0.002580071,635.167
0.002603281,835.558
0.002618481,547.219
0.002636126,635.203
0.002645435,335.143
0.002654731,334.667
0.002666814,434.967
0.002687232,735.036
0.002704873,635.076
0.002722548,636.311
0.002740193,635.214
0.002760616,735.237
0.002778257,635.063
0.002790352,435.416
0.002799647,334.653
0.002808944,334.678
0.002823821,535.567
0.002847020,835.174
0.002856321,334.835
0.002865641,335.519
0.002874996,336.781
0.002892638,635.096
0.002910279,635.072
0.002927931,635.488
0.002937227,334.666
0.002946521,334.578
0.002955820,334.751
0.002967900,434.888
0.002991102,835.273
0.003008746,635.173
0.003023609,535.070
0.003046811,835.278
0.003064452,635.064
0.003073753,334.837
0.003083048,334.647
0.003092345,334.685
0.003109984,635.006
0.003127631,635.270
0.003145266,634.857
0.003154588,335.610
0.003163937,336.550
0.003173234,334.693
0.003190884,635.399
0.003208524,635.068
0.003226167,635.125
0.003243824,635.653
0.003253122,334.722
0.003262486,337.122
0.003271785,334.754
0.003281111,335.725
0.003290434,335.643
0.003308085,635.418
0.003325727,635.140
0.003346146,735.084
0.003363793,635.282
0.003384209,734.963
0.003393530,335.564
0.003402828,334.745
0.003412151,335.613
0.003424234,434.975
0.003441903,636.088
0.003459542,634.998
0.003468848,335.016
0.003478170,335.615
0.003487468,334.738
0.003510671,835.279
0.003528333,635.848
0.003543223,536.047
0.003563656,735.561
0.003581295,635.020
0.003601710,734.951
0.003622137,735.377
0.003637002,535.131
0.003646329,335.757
0.003655664,336.057
0.003664960,334.680
0.003674293,335.964
0.003683618,335.713
0.003701260,635.105
0.003718909,635.375
0.003728221,335.234
0.003737543,335.574
0.003746850,335.058
0.003756149,334.765
0.003773792,635.173
0.003794218,735.330
0.003811859,635.063
0.003832307,736.120
0.003841611,334.963
0.003850924,335.265
0.003860249,335.685
0.003869573,335.681
0.003889989,734.954
0.003910414,735.316
0.003928058,635.181
0.003940142,435.008
0.003949472,335.909
0.003958797,335.671
0.003968122,335.701
0.003977451,335.876
0.003989566,436.138
0.004007221,635.558
0.004027641,735.113
0.004042517,535.566
0.004065720,835.302
0.004080596,535.524
0.004101014,735.044
0.004118666,635.471
0.004136305,635.013
0.004156736,735.524
0.004177155,735.087
0.004192016,534.976
0.004215219,835.305
0.004232863,635.182
0.004242162,334.772
0.004251463,334.849
0.004260760,334.689
0.004270059,334.773
0.004279405,336.433
0.004294290,535.856
0.004311931,635.096
0.004324020,435.179
0.004333352,335.961
0.004342655,334.896
0.004351981,335.765
0.004364091,435.960
0.004384526,735.635
