block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,83513995,835.140,0
1,100000,100000,63564822,635.648,0
2,200000,100000,33489007,334.890,0
3,300000,100000,33647136,336.471,0
4,400000,100000,33502512,335.025,0
5,500000,100000,73512127,735.121,0
6,600000,100000,63502003,635.020,0
7,700000,100000,53523390,535.234,0
8,800000,100000,33553344,335.533,0
9,900000,100000,33467773,334.678,0
10,1000000,100000,53595684,535.957,0
11,1100000,100000,53503501,535.035,0
12,1200000,100000,33467574,334.676,0
13,1300000,100000,33563473,335.635,0
14,1400000,100000,43582848,435.828,0
15,1500000,100000,93530851,935.309,0
16,1600000,100000,53512806,535.128,0
17,1700000,100000,33488233,334.882,0
18,1800000,100000,33489018,334.890,0
19,1900000,100000,33576138,335.761,0
20,2000000,100000,63509263,635.093,0
21,2100000,100000,43512336,435.123,0
22,2200000,100000,33528961,335.290,0
23,2300000,100000,33478128,334.781,0
24,2400000,100000,73541065,735.411,0
25,2500000,100000,63501415,635.014,0
26,2600000,100000,53512272,535.123,0
27,2700000,100000,63516115,635.161,0
28,2800000,100000,63508734,635.087,0
29,2900000,100000,73538437,735.384,0
30,3000000,100000,73524259,735.243,0
31,3100000,100000,53513922,535.139,0
32,3200000,100000,33553681,335.537,0
33,3300000,100000,33467760,334.678,0
34,3400000,100000,63507487,635.075,0
35,3500000,100000,73513068,735.131,0
36,3600000,100000,73504903,735.049,0
37,3700000,100000,83525557,835.256,0
38,3800000,100000,53600856,536.009,0
39,3900000,100000,43502617,435.026,0
40,4000000,100000,33570258,335.703,0
41,4100000,100000,33483133,334.831,0
42,4200000,100000,63510048,635.100,0
43,4300000,100000,73527733,735.277,0
44,4400000,100000,53564460,535.645,0
45,4500000,100000,33458887,334.589,0
46,4600000,100000,33475650,334.757,0
47,4700000,100000,43488421,434.884,0
48,4800000,100000,63625362,636.254,0
49,4900000,100000,33460225,334.602,0
50,5000000,100000,33537672,335.377,0
51,5100000,100000,43499616,434.996,0
52,5200000,100000,83498329,834.983,0
53,5300000,100000,63517375,635.174,0
54,5400000,100000,73523256,735.233,0
55,5500000,100000,43493389,434.934,0
56,5600000,100000,33457890,334.579,0
57,5700000,100000,33583699,335.837,0
58,5800000,100000,63572952,635.730,0
59,5900000,100000,73551037,735.510,0
60,6000000,100000,53638374,536.384,0
61,6100000,100000,33563329,335.633,0
62,6200000,100000,33585108,335.851,0
63,6300000,100000,43498135,434.981,0
64,6400000,100000,83500476,835.005,0
65,6500000,100000,63621973,636.220,0
66,6600000,100000,33702888,337.029,0
67,6700000,100000,33456487,334.565,0
68,6800000,100000,33490926,334.909,0
69,6900000,100000,73496581,734.966,0
70,7000000,100000,63511536,635.115,0
71,7100000,100000,53545705,535.457,0
72,7200000,100000,33466020,334.660,0
73,7300000,100000,33478981,334.790,0
