run,run_dir,n_blocks,mean_avg_ns,min_avg_ns,max_avg_ns,std_avg_ns,mismatches,elapsed_s
1,run_01,100,335.503,334.394,340.121,1.474,0,0.335503
2,run_02,100,335.855,334.396,349.117,2.065,0,0.335855
3,run_03,100,335.896,334.399,364.578,3.277,0,0.335896
4,run_04,100,335.616,334.400,341.670,1.555,0,0.335616
5,run_05,100,335.425,334.400,339.671,1.366,0,0.335425
6,run_06,100,335.465,334.401,340.087,1.504,0,0.335465
7,run_07,100,335.825,334.395,351.455,2.163,0,0.335825
8,run_08,100,335.479,334.402,339.830,1.450,0,0.335479
9,run_09,100,335.835,334.398,339.675,1.711,0,0.335835
10,run_10,100,335.660,334.399,344.250,1.688,0,0.335660
11,run_11,100,335.366,334.398,338.614,1.306,0,0.335366
12,run_12,100,335.711,334.400,352.583,2.267,0,0.335710
13,run_13,100,335.928,334.400,348.692,2.355,0,0.335928
14,run_14,100,335.741,334.400,339.702,1.558,0,0.335741
15,run_15,100,335.594,334.402,342.496,1.588,0,0.335595
16,run_16,100,335.907,334.398,361.778,3.010,0,0.335907
17,run_17,100,335.458,334.400,339.551,1.380,0,0.335458
18,run_18,100,335.775,334.400,356.086,2.560,0,0.335775
19,run_19,100,335.448,334.401,340.564,1.458,0,0.335448
20,run_20,100,335.512,334.399,341.809,1.569,0,0.335512
