run,run_dir,avg_ns,elapsed_s,mismatches,trace_blocks,trace_mean_ns,trace_min_ns,trace_max_ns,trace_std_ns,trace_mismatches
1,run_01,335.503,0.335503,0,100,335.503,334.394,340.121,1.474,0
2,run_02,335.855,0.335855,0,100,335.855,334.396,349.117,2.065,0
3,run_03,335.896,0.335896,0,100,335.896,334.399,364.578,3.277,0
4,run_04,335.616,0.335616,0,100,335.616,334.400,341.670,1.555,0
5,run_05,335.425,0.335425,0,100,335.425,334.400,339.671,1.366,0
6,run_06,335.465,0.335465,0,100,335.465,334.401,340.087,1.504,0
7,run_07,335.825,0.335825,0,100,335.825,334.395,351.455,2.163,0
8,run_08,335.479,0.335479,0,100,335.479,334.402,339.830,1.450,0
9,run_09,335.835,0.335835,0,100,335.835,334.398,339.675,1.711,0
10,run_10,335.660,0.335660,0,100,335.660,334.399,344.250,1.688,0
11,run_11,335.366,0.335366,0,100,335.366,334.398,338.614,1.306,0
12,run_12,335.710,0.335710,0,100,335.711,334.400,352.583,2.267,0
13,run_13,335.928,0.335928,0,100,335.928,334.400,348.692,2.355,0
14,run_14,335.741,0.335741,0,100,335.741,334.400,339.702,1.558,0
15,run_15,335.595,0.335595,0,100,335.594,334.402,342.496,1.588,0
16,run_16,335.907,0.335907,0,100,335.907,334.398,361.778,3.010,0
17,run_17,335.458,0.335458,0,100,335.458,334.400,339.551,1.380,0
18,run_18,335.775,0.335775,0,100,335.775,334.400,356.086,2.560,0
19,run_19,335.448,0.335448,0,100,335.448,334.401,340.564,1.458,0
20,run_20,335.512,0.335512,0,100,335.512,334.399,341.809,1.569,0
