time_h,avg_ns
0.000009341,336.289
0.000037257,334.846
0.000065177,334.653
0.000093073,334.766
0.000121020,334.763
0.000148953,334.686
0.000176874,334.719
0.000204848,335.661
0.000232794,334.651
0.000260725,335.723
0.000288646,334.700
0.000316539,334.643
0.000344480,334.722
0.000372467,334.831
0.000400485,335.748
0.000428452,335.824
0.000456374,334.862
0.000484320,334.894
0.000512286,334.652
0.000540240,334.723
0.000568160,334.643
0.000596106,335.602
0.000624054,334.729
0.000651976,335.327
0.000679881,334.922
0.000707807,334.736
0.000735727,334.703
0.000763677,334.759
0.000791593,334.879
0.000819488,334.841
0.000847432,335.701
0.000875395,335.776
0.000903317,334.813
0.000931212,334.798
0.000959109,334.860
0.000987030,334.707
0.001014923,334.646
0.001042858,334.792
0.001070807,335.722
0.001098708,334.707
0.001126656,334.771
0.001154587,335.684
0.001182482,334.635
0.001210418,334.722
0.001238381,335.649
0.001266302,334.644
0.001294200,334.813
0.001322174,336.664
0.001350097,335.732
0.001378035,334.916
0.001405947,334.921
0.001433852,334.815
0.001461747,334.702
0.001489720,334.720
0.001517662,334.640
0.001545599,335.207
0.001573539,335.391
0.001601539,335.338
0.001629462,335.604
0.001657411,335.683
0.001685304,334.653
0.001713281,335.646
0.001741197,334.879
0.001769092,334.866
0.001797059,336.703
0.001824953,334.816
0.001852899,335.739
0.001880822,334.849
0.001908771,335.653
0.001936704,335.129
0.001964660,334.641
0.001992635,335.682
0.002020559,335.679
0.002048453,334.708
0.002076384,335.671
0.002104333,335.702
0.002132226,334.651
0.002160180,335.701
0.002188123,334.815
0.002216079,335.957
0.002244029,334.961
0.002271956,335.006
0.002299865,334.742
0.002327776,334.829
0.002355708,336.035
0.002383629,334.712
0.002411525,334.715
0.002439459,334.806
0.002467457,336.542
0.002495450,335.313
0.002523374,334.719
0.002551317,334.642
0.002579237,334.675
0.002607136,334.727
0.002635066,335.944
0.002662998,336.007
0.002690904,334.882
0.002718873,335.055
0.002746817,335.775
0.002774760,335.822
0.002802680,334.706
0.002830612,335.032
0.002858534,334.715
0.002886477,335.486
0.002914443,336.165
0.002942419,336.630
0.002970573,334.867
0.002998505,334.652
0.003026471,335.745
0.003054395,335.844
0.003082360,334.801
0.003110276,335.070
0.003138211,334.834
0.003166127,334.755
0.003194075,334.816
0.003222126,336.565
0.003250073,335.830
0.003278064,335.201
0.003305959,334.714
0.003333897,335.294
0.003361829,334.717
0.003389727,334.781
0.003417686,334.688
0.003445633,335.599
0.003473550,334.709
0.003501520,334.796
0.003529446,335.928
0.003557410,335.957
0.003585355,335.743
0.003613300,335.693
0.003641258,336.043
0.003669160,334.715
0.003697071,335.154
0.003724989,334.773
0.003752909,334.735
0.003780827,334.637
0.003808748,335.647
0.003836671,335.652
0.003864591,335.591
0.003892500,334.712
0.003920410,334.693
0.003948356,335.594
0.003976256,334.845
0.004004178,335.835
0.004032144,335.937
0.004060092,335.828
0.004088013,335.820
0.004115943,336.022
0.004143917,334.644
0.004171838,335.670
0.004199834,336.883
0.004227767,334.648
0.004255688,334.717
0.004283637,335.353
0.004311531,334.661
0.004339533,336.564
0.004367495,335.508
0.004395394,334.806
0.004423350,335.123
0.004451254,334.796
0.004479200,335.692
0.004507145,335.764
0.004535075,334.799
0.004562994,334.636
0.004590942,335.661
0.004618903,336.140
0.004646889,334.660
0.004674812,335.718
0.004702706,334.766
0.004730599,334.676
0.004758569,334.716
0.004786513,336.471
0.004814485,336.494
0.004842435,334.807
0.004870363,335.049
0.004898286,335.695
0.004926230,334.914
0.004954215,334.909
0.004982145,335.778
0.005010068,335.084
0.005037989,335.710
0.005065955,335.628
0.005093899,334.646
0.005121871,334.715
0.005149800,335.578
0.005177721,334.642
0.005205627,335.101
0.005233579,335.436
0.005261528,335.599
0.005289461,334.830
0.005317382,334.859
0.005345301,334.809
0.005373197,334.873
0.005401118,334.840
0.005429034,334.734
0.005456930,334.816
0.005484919,335.684
0.005512860,334.634
0.005540782,334.713
0.005568742,334.698
0.005596700,335.594
0.005624623,335.684
0.005652553,334.770
0.005680522,336.483
0.005708444,334.768
0.005736364,335.652
0.005764316,335.773
0.005792289,335.780
0.005820264,335.915
0.005848231,335.680
0.005876189,334.820
0.005904102,334.720
0.005932110,336.426
0.005960006,334.662
0.005987927,334.779
0.006015898,334.693
0.006043871,335.674
0.006071813,336.013
0.006099747,335.455
0.006127660,335.053
0.006155581,334.715
0.006183587,336.751
0.006211539,335.921
0.006239470,334.824
0.006267364,334.805
0.006295369,335.168
0.006323295,334.783
0.006351268,335.624
0.006379163,334.693
0.006407112,335.263
0.006435007,334.697
0.006462981,336.250
0.006490929,335.672
0.006518873,335.201
0.006546869,336.451
0.006574767,334.729
0.006602772,335.784
0.006630666,334.811
0.006658597,334.882
0.006686571,335.950
0.006714490,335.741
0.006742485,335.932
0.006770380,334.717
0.006798310,335.926
0.006826294,336.121
0.006854218,334.719
0.006882114,334.642
0.006910074,335.606
0.006938017,336.435
0.006965937,335.662
0.006993859,334.711
0.007021843,336.050
0.007049819,335.783
0.007077721,334.745
0.007105679,335.762
0.007133614,335.747
0.007161558,334.748
0.007189460,335.056
0.007217419,335.106
0.007245367,335.108
0.007273263,334.734
0.007301256,336.425
0.007329231,334.704
0.007357153,334.779
0.007385099,335.647
0.007412993,334.635
0.007440928,336.087
0.007468893,335.652
0.007496808,334.737
0.007524792,335.766
0.007552710,334.816
0.007580656,335.700
0.007608592,334.861
0.007636558,334.778
0.007664470,334.692
0.007692394,335.384
0.007720338,336.439
0.007748284,335.231
0.007776241,335.600
