run,run_dir,n_blocks,mean_avg_ns,min_avg_ns,max_avg_ns,std_avg_ns,mismatches,elapsed_s
1,run_01,100,335.352,334.635,336.824,0.533,0,3.353517
2,run_02,100,335.297,334.630,336.787,0.588,0,3.352975
3,run_03,100,335.303,334.626,337.070,0.608,0,3.353028
4,run_04,100,335.195,334.626,336.819,0.599,0,3.351953
5,run_05,100,335.313,334.627,338.064,0.677,0,3.353127
6,run_06,100,335.247,334.623,337.380,0.613,0,3.352472
7,run_07,100,335.334,334.630,336.800,0.591,0,3.353342
8,run_08,100,335.199,334.619,336.776,0.512,0,3.351986
9,run_09,100,335.312,334.628,336.972,0.587,0,3.353124
10,run_10,100,335.271,334.632,336.903,0.612,0,3.352706
11,run_11,100,335.199,334.631,337.405,0.608,0,3.351994
12,run_12,100,335.243,334.630,336.899,0.570,0,3.352426
13,run_13,100,335.332,334.636,336.915,0.621,0,3.353320
14,run_14,100,335.208,334.626,337.260,0.626,0,3.352085
15,run_15,100,335.378,334.628,337.000,0.697,0,3.353785
16,run_16,100,335.308,334.635,336.643,0.621,0,3.353078
17,run_17,100,335.168,334.627,336.718,0.538,0,3.351678
18,run_18,100,335.331,334.627,337.087,0.588,0,3.353309
19,run_19,100,335.257,334.633,336.885,0.575,0,3.352570
20,run_20,100,335.266,334.629,336.823,0.573,0,3.352659
