time_h,avg_ns
0.000009480,341.298
0.000018991,342.376
0.000028423,339.565
0.000037843,339.099
0.000047351,342.291
0.000056831,341.283
0.000066273,339.930
0.000075743,340.902
0.000085233,341.639
0.000094683,340.218
0.000104158,341.100
0.000113659,342.019
0.000123099,339.839
0.000132586,341.536
0.000141983,338.282
0.000151744,351.411
0.000161383,346.998
0.000170862,341.248
0.000180385,342.842
0.000189868,341.389
0.000199375,342.234
0.000208863,341.572
0.000218306,339.960
0.000227796,341.641
0.000237329,343.190
0.000246838,342.321
0.000256294,340.419
0.000265739,339.989
0.000275258,342.708
0.000284728,340.901
0.000294156,339.427
0.000303656,341.983
0.000313114,340.493
0.000322545,339.533
0.000332050,342.166
0.000341509,340.530
0.000350929,339.095
0.000360362,339.596
0.000369884,342.792
0.000379331,340.110
0.000388755,339.248
0.000398257,342.093
0.000407721,340.707
0.000417142,339.139
0.000426646,342.139
0.000436125,341.260
0.000445545,339.120
0.000454987,339.907
0.000464716,350.242
0.000474298,344.956
0.000483824,342.922
0.000493316,341.719
0.000502782,340.767
0.000512256,341.076
0.000521790,343.222
0.000531259,340.865
0.000540742,341.403
0.000550302,344.161
0.000559775,341.015
0.000569280,342.181
0.000578715,339.658
0.000588187,341.005
0.000597684,341.904
0.000607107,339.210
0.000616569,340.632
0.000626086,342.630
0.000635528,339.906
0.000644969,339.868
0.000654468,341.957
0.000663944,341.158
0.000673382,339.747
0.000682888,342.218
0.000692353,340.764
0.000701810,340.451
0.000711247,339.703
0.000720723,341.136
0.000730213,341.652
0.000739647,339.630
0.000749125,341.196
0.000758615,341.636
0.000768050,339.663
0.000777592,343.501
0.000787176,345.026
0.000796920,350.788
0.000806411,341.689
0.000815910,341.972
0.000825383,341.032
0.000834861,341.182
0.000844305,340.011
0.000853761,340.398
0.000863347,345.093
0.000872785,339.791
0.000882283,341.918
0.000891767,341.404
0.000901193,339.338
0.000910683,341.643
0.000920162,341.259
0.000929585,339.238
0.000939076,341.647
0.000948549,341.051
0.000957968,339.069
0.000967460,341.719
0.000976948,341.570
0.000986388,339.826
0.000995851,340.684
0.001005344,341.745
0.001014811,340.816
0.001024234,339.214
0.001033710,341.148
0.001043197,341.512
0.001052621,339.291
0.001062098,341.160
0.001071603,342.171
0.001081066,340.691
0.001090521,340.373
0.001100169,347.315
0.001109863,348.983
0.001119347,341.426
0.001128879,343.149
0.001138348,340.903
0.001147793,340.022
0.001157248,340.380
0.001166691,339.939
0.001176267,344.724
0.001185720,340.307
0.001195191,340.966
0.001204686,341.808
0.001214135,340.159
0.001223599,340.719
0.001233087,341.585
0.001242563,341.117
0.001251996,339.602
0.001261552,343.995
0.001271037,341.460
0.001280457,339.142
0.001289927,340.917
0.001299410,341.386
0.001308831,339.155
0.001318315,341.412
0.001327815,342.002
0.001337260,340.037
0.001346738,341.182
0.001356224,341.496
0.001365715,341.697
0.001375133,339.040
0.001384611,341.226
0.001394103,341.693
0.001403400,334.698
0.001413159,351.334
0.001422830,348.140
0.001432347,342.624
0.001441832,341.454
0.001451306,341.054
0.001460757,340.252
0.001470213,340.412
0.001479657,339.995
0.001489187,343.067
0.001498700,342.458
0.001508134,339.617
0.001517604,340.946
0.001527111,342.229
0.001536536,339.326
0.001545987,340.236
0.001555494,342.230
0.001564940,340.069
0.001574386,340.057
0.001583897,342.375
0.001593320,339.233
0.001602762,339.903
0.001612242,341.299
0.001621698,340.420
0.001631145,340.075
0.001640645,342.025
0.001650108,340.665
0.001659574,340.770
0.001669057,341.389
0.001678562,342.181
0.001687981,339.074
0.001697404,339.214
0.001706911,342.282
0.001716245,336.014
0.001726008,351.474
0.001735665,347.658
0.001745171,342.200
0.001754648,341.183
0.001764131,341.365
0.001773584,340.334
0.001783063,341.240
0.001792514,340.240
0.001802009,341.789
0.001811531,342.819
0.001821013,341.334
0.001830433,339.129
0.001839942,342.337
0.001849397,340.377
0.001858845,340.098
0.001868322,341.204
0.001877804,341.336
0.001887226,339.199
0.001896687,340.593
0.001906245,344.092
0.001915671,339.311
0.001925131,340.573
0.001934640,342.341
0.001944086,340.043
0.001953537,340.240
0.001963036,341.962
0.001972507,340.962
0.001981927,339.111
0.001991422,341.816
0.002000883,340.586
0.002010305,339.223
0.002019759,340.334
0.002029156,338.286
0.002038894,350.559
0.002048529,346.850
0.002058044,342.551
0.002067550,342.205
0.002077042,341.723
0.002086508,340.799
0.002095965,340.436
0.002105415,340.184
0.002114894,341.259
0.002124410,342.592
0.002133923,342.458
0.002143360,339.718
0.002152805,340.027
0.002162306,342.041
0.002171740,339.627
0.002181182,339.894
0.002190700,342.671
0.002200139,339.784
0.002209586,340.096
0.002219089,342.124
0.002228535,340.056
0.002237974,339.779
0.002247470,341.879
0.002256937,340.800
0.002266372,339.678
0.002275864,341.705
0.002285338,341.053
0.002294763,339.315
0.002304248,341.457
0.002313714,340.768
0.002323158,339.982
0.002332585,339.387
0.002342014,339.446
0.002351775,351.375
0.002361409,346.829
0.002370881,340.975
0.002380380,341.995
0.002389865,341.438
0.002399320,340.371
0.002408789,340.888
0.002418245,340.443
0.002427681,339.667
0.002437215,343.251
0.002446718,342.084
0.002456247,343.047
0.002465670,339.253
0.002475170,341.981
0.002484632,340.641
0.002494094,340.621
0.002503581,341.532
0.002513081,341.999
0.002522505,339.268
0.002531943,339.759
0.002541447,342.172
0.002550877,339.477
0.002560318,339.859
0.002569852,343.220
0.002579283,339.507
0.002588742,340.556
0.002598235,341.749
0.002607716,341.281
0.002617142,339.365
0.002626659,342.583
0.002636133,341.074
0.002645556,339.227
0.002654985,339.460
0.002664694,349.532
0.002674269,344.691
0.002683820,343.845
0.002693314,341.752
0.002702804,341.674
0.002712241,339.731
0.002721719,341.202
0.002731166,340.065
0.002740628,340.643
0.002750206,344.803
0.002759649,339.956
0.002769161,342.429
0.002778601,339.860
0.002788063,340.630
0.002797570,342.240
0.002807037,340.794
0.002816469,339.555
0.002825978,342.338
0.002835434,340.427
0.002844862,339.394
0.002854376,342.496
0.002863825,340.167
0.002873243,339.068
0.002882728,341.460
0.002892209,341.300
0.002901629,339.109
0.002911111,341.357
0.002920606,341.817
0.002930030,339.279
0.002939506,341.147
0.002948989,341.384
0.002958412,339.234
0.002967853,339.846
0.002977163,335.177
0.002986730,344.415
0.002996424,348.987
0.003005914,341.623
0.003015454,343.453
0.003024939,341.454
0.003034399,340.555
0.003043867,340.839
0.003053315,340.128
0.003062891,344.757
0.003072328,339.727
0.003081803,341.090
0.003091294,341.694
0.003100716,339.198
0.003110194,341.178
0.003119677,341.406
0.003129097,339.111
0.003138544,340.116
0.003148030,341.469
0.003157506,341.132
0.003166928,339.206
0.003176407,341.240
0.003185902,341.836
0.003195324,339.178
0.003204808,341.415
0.003214279,340.979
0.003223702,339.226
0.003233144,339.897
0.003242666,342.804
