block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,33507774,335.078,0
1,100000,100000,33570883,335.709,0
2,200000,100000,33482718,334.827,0
3,300000,100000,33594366,335.944,0
4,400000,100000,33478153,334.782,0
5,500000,100000,33568710,335.687,0
6,600000,100000,33601422,336.014,0
7,700000,100000,33487051,334.871,0
8,800000,100000,33465654,334.657,0
9,900000,100000,33469422,334.694,0
10,1000000,100000,33480535,334.805,0
11,1100000,100000,33567810,335.678,0
12,1200000,100000,33558762,335.588,0
13,1300000,100000,33481603,334.816,0
14,1400000,100000,33647280,336.473,0
15,1500000,100000,33518082,335.181,0
16,1600000,100000,33479149,334.791,0
17,1700000,100000,33470340,334.703,0
18,1800000,100000,33470214,334.702,0
19,1900000,100000,33473935,334.739,0
20,2000000,100000,33476100,334.761,0
21,2100000,100000,33560268,335.603,0
22,2200000,100000,33575803,335.758,0
23,2300000,100000,33463008,334.630,0
24,2400000,100000,33485436,334.854,0
25,2500000,100000,33601057,336.011,0
26,2600000,100000,33634356,336.344,0
27,2700000,100000,33490440,334.904,0
28,2800000,100000,33558583,335.586,0
29,2900000,100000,33471900,334.719,0
30,3000000,100000,33479694,334.797,0
31,3100000,100000,33663061,336.631,0
32,3200000,100000,33462924,334.629,0
33,3300000,100000,33487200,334.872,0
34,3400000,100000,33471907,334.719,0
35,3500000,100000,33505860,335.059,0
36,3600000,100000,33506652,335.067,0
37,3700000,100000,33566323,335.663,0
38,3800000,100000,33472068,334.721,0
39,3900000,100000,33473034,334.730,0
40,4000000,100000,33543073,335.431,0
41,4100000,100000,33479790,334.798,0
42,4200000,100000,33464742,334.647,0
43,4300000,100000,33569629,335.696,0
44,4400000,100000,33474834,334.748,0
45,4500000,100000,33471000,334.710,0
46,4600000,100000,33558793,335.588,0
47,4700000,100000,33502218,335.022,0
48,4800000,100000,33511638,335.116,0
49,4900000,100000,33471823,334.718,0
50,5000000,100000,33487698,334.877,0
51,5100000,100000,33613032,336.130,0
52,5200000,100000,33511249,335.112,0
53,5300000,100000,33481518,334.815,0
54,5400000,100000,33567030,335.670,0
55,5500000,100000,33464323,334.643,0
56,5600000,100000,33527406,335.274,0
57,5700000,100000,33626508,336.265,0
58,5800000,100000,33482419,334.824,0
59,5900000,100000,33470286,334.703,0
60,6000000,100000,33471756,334.718,0
61,6100000,100000,33480871,334.809,0
62,6200000,100000,33463068,334.631,0
63,6300000,100000,33552102,335.521,0
64,6400000,100000,33663547,336.635,0
65,6500000,100000,33565992,335.660,0
66,6600000,100000,33467778,334.678,0
67,6700000,100000,33578083,335.781,0
68,6800000,100000,33469536,334.695,0
69,6900000,100000,33559056,335.591,0
70,7000000,100000,33678127,336.781,0
71,7100000,100000,33463212,334.632,0
72,7200000,100000,33471510,334.715,0
73,7300000,100000,33574159,335.742,0
74,7400000,100000,33534216,335.342,0
75,7500000,100000,33669708,336.697,0
76,7600000,100000,33652165,336.522,0
77,7700000,100000,33469410,334.694,0
78,7800000,100000,33508272,335.083,0
79,7900000,100000,33475225,334.752,0
80,8000000,100000,33512892,335.129,0
81,8100000,100000,33672498,336.725,0
82,8200000,100000,33537667,335.377,0
83,8300000,100000,33476868,334.769,0
84,8400000,100000,33590526,335.905,0
85,8500000,100000,33534739,335.347,0
86,8600000,100000,33479604,334.796,0
87,8700000,100000,33571866,335.719,0
88,8800000,100000,33471589,334.716,0
89,8900000,100000,33604524,336.045,0
90,9000000,100000,33472710,334.727,0
91,9100000,100000,33463423,334.634,0
92,9200000,100000,33581562,335.816,0
93,9300000,100000,33470814,334.708,0
94,9400000,100000,33559339,335.593,0
95,9500000,100000,33496566,334.966,0
96,9600000,100000,33565986,335.660,0
97,9700000,100000,33471649,334.716,0
98,9800000,100000,33494376,334.944,0
99,9900000,100000,33478344,334.783,0
100,10000000,100000,33648973,336.490,0
101,10100000,100000,33577092,335.771,0
102,10200000,100000,33474594,334.746,0
103,10300000,100000,33864109,338.641,0
104,10400000,100000,33753378,337.534,0
105,10500000,100000,33568860,335.689,0
106,10600000,100000,33609799,336.098,0
107,10700000,100000,33511758,335.118,0
108,10800000,100000,33474774,334.748,0
109,10900000,100000,33490477,334.905,0
110,11000000,100000,33566454,335.665,0
111,11100000,100000,33472488,334.725,0
112,11200000,100000,33577627,335.776,0
113,11300000,100000,33627624,336.276,0
114,11400000,100000,33557712,335.577,0
115,11500000,100000,33493309,334.933,0
116,11600000,100000,33531618,335.316,0
117,11700000,100000,33485406,334.854,0
118,11800000,100000,33565225,335.652,0
119,11900000,100000,33566844,335.668,0
120,12000000,100000,33598416,335.984,0
121,12100000,100000,33604357,336.044,0
122,12200000,100000,33556758,335.568,0
123,12300000,100000,33491364,334.914,0
124,12400000,100000,33523123,335.231,0
125,12500000,100000,33468594,334.686,0
126,12600000,100000,33506766,335.068,0
127,12700000,100000,33565333,335.653,0
128,12800000,100000,33465108,334.651,0
129,12900000,100000,33588600,335.886,0
130,13000000,100000,33527485,335.275,0
131,13100000,100000,33577350,335.774,0
132,13200000,100000,33470010,334.700,0
133,13300000,100000,33541363,335.414,0
134,13400000,100000,33575070,335.751,0
135,13500000,100000,33608376,336.084,0
136,13600000,100000,33470833,334.708,0
137,13700000,100000,33487290,334.873,0
138,13800000,100000,33556098,335.561,0
139,13900000,100000,33594973,335.950,0
140,14000000,100000,33589314,335.893,0
141,14100000,100000,33462672,334.627,0
142,14200000,100000,33613075,336.131,0
143,14300000,100000,33480522,334.805,0
144,14400000,100000,33612372,336.124,0
145,14500000,100000,33495505,334.955,0
146,14600000,100000,33559446,335.594,0
147,14700000,100000,33540360,335.404,0
148,14800000,100000,33480433,334.804,0
149,14900000,100000,33472068,334.721,0
150,15000000,100000,33558696,335.587,0
151,15100000,100000,33581965,335.820,0
152,15200000,100000,33517476,335.175,0
153,15300000,100000,33465006,334.650,0
154,15400000,100000,33498109,334.981,0
155,15500000,100000,33470154,334.702,0
156,15600000,100000,33471438,334.714,0
157,15700000,100000,33473851,334.739,0
158,15800000,100000,33646182,336.462,0
159,15900000,100000,33558462,335.585,0
160,16000000,100000,33481237,334.812,0
161,16100000,100000,33474234,334.742,0
162,16200000,100000,33474384,334.744,0
163,16300000,100000,33471997,334.720,0
164,16400000,100000,33530118,335.301,0
165,16500000,100000,33515760,335.158,0
166,16600000,100000,33502417,335.024,0
167,16700000,100000,33471624,334.716,0
168,16800000,100000,33580776,335.808,0
169,16900000,100000,33643243,336.432,0
170,17000000,100000,33468996,334.690,0
171,17100000,100000,33575364,335.754,0
172,17200000,100000,33471547,334.715,0
173,17300000,100000,33548946,335.489,0
174,17400000,100000,33495300,334.953,0
175,17500000,100000,33507103,335.071,0
176,17600000,100000,33475494,334.755,0
177,17700000,100000,33480204,334.802,0
178,17800000,100000,33534091,335.341,0
179,17900000,100000,33481446,334.814,0
180,18000000,100000,33496584,334.966,0
181,18100000,100000,33477811,334.778,0
182,18200000,100000,33478278,334.783,0
183,18300000,100000,33656220,336.562,0
184,18400000,100000,33618745,336.187,0
185,18500000,100000,33671988,336.720,0
186,18600000,100000,33469764,334.698,0
187,18700000,100000,33641695,336.417,0
188,18800000,100000,33486294,334.863,0
189,18900000,100000,33463752,334.638,0
190,19000000,100000,33567163,335.672,0
191,19100000,100000,33479424,334.794,0
192,19200000,100000,33531876,335.319,0
193,19300000,100000,33557545,335.575,0
194,19400000,100000,33617262,336.173,0
195,19500000,100000,33470148,334.701,0
196,19600000,100000,33569521,335.695,0
197,19700000,100000,33564918,335.649,0
198,19800000,100000,33464826,334.648,0
199,19900000,100000,33576547,335.765,0
200,20000000,100000,33463428,334.634,0
201,20100000,100000,33527568,335.276,0
202,20200000,100000,33478945,334.789,0
203,20300000,100000,33559152,335.592,0
204,20400000,100000,33679032,336.790,0
205,20500000,100000,33476131,334.761,0
206,20600000,100000,33472644,334.726,0
207,20700000,100000,33469344,334.693,0
208,20800000,100000,33578527,335.785,0
209,20900000,100000,33463032,334.630,0
210,21000000,100000,33486426,334.864,0
211,21100000,100000,33471493,334.715,0
212,21200000,100000,33531690,335.317,0
213,21300000,100000,33480510,334.805,0
214,21400000,100000,33561337,335.613,0
215,21500000,100000,33553542,335.535,0
216,21600000,100000,33473916,334.739,0
217,21700000,100000,33478723,334.787,0
218,21800000,100000,33639156,336.392,0
219,21900000,100000,33576876,335.769,0
220,22000000,100000,33474271,334.743,0
221,22100000,100000,33465468,334.655,0
222,22200000,100000,33576018,335.760,0
223,22300000,100000,33463897,334.639,0
224,22400000,100000,33516360,335.164,0
225,22500000,100000,33472710,334.727,0
226,22600000,100000,33471451,334.715,0
227,22700000,100000,33486576,334.866,0
228,22800000,100000,33499146,334.991,0
229,22900000,100000,33469375,334.694,0
230,23000000,100000,33480480,334.805,0
231,23100000,100000,33471546,334.715,0
232,23200000,100000,33559009,335.590,0
233,23300000,100000,33486510,334.865,0
234,23400000,100000,33466272,334.663,0
235,23500000,100000,33529729,335.297,0
236,23600000,100000,33575490,335.755,0
237,23700000,100000,33550482,335.505,0
238,23800000,100000,33565429,335.654,0
239,23900000,100000,33568884,335.689,0
240,24000000,100000,33548658,335.487,0
241,24100000,100000,33690163,336.902,0
242,24200000,100000,33482394,334.824,0
243,24300000,100000,33532434,335.324,0
244,24400000,100000,33578167,335.782,0
245,24500000,100000,33469974,334.700,0
246,24600000,100000,33594204,335.942,0
247,24700000,100000,33582331,335.823,0
248,24800000,100000,33559638,335.596,0
249,24900000,100000,33472458,334.725,0
250,25000000,100000,33479191,334.792,0
251,25100000,100000,33520896,335.209,0
252,25200000,100000,33463368,334.634,0
253,25300000,100000,33499891,334.999,0
254,25400000,100000,33471516,334.715,0
255,25500000,100000,33464124,334.641,0
256,25600000,100000,33579919,335.799,0
257,25700000,100000,33559266,335.593,0
258,25800000,100000,33661926,336.619,0
259,25900000,100000,33568783,335.688,0
260,26000000,100000,33476922,334.769,0
261,26100000,100000,33479598,334.796,0
262,26200000,100000,33464677,334.647,0
263,26300000,100000,33552474,335.525,0
264,26400000,100000,33483510,334.835,0
265,26500000,100000,33518329,335.183,0
266,26600000,100000,33598416,335.984,0
267,26700000,100000,33499518,334.995,0
268,26800000,100000,33653893,336.539,0
269,26900000,100000,33600570,336.006,0
270,27000000,100000,33590274,335.903,0
271,27100000,100000,33559525,335.595,0
272,27200000,100000,33659562,336.596,0
273,27300000,100000,33575124,335.751,0
274,27400000,100000,33471889,334.719,0
275,27500000,100000,33568662,335.687,0
276,27600000,100000,33477180,334.772,0
277,27700000,100000,33593227,335.932,0
278,27800000,100000,33481818,334.818,0
279,27900000,100000,33517548,335.175,0
280,28000000,100000,33543763,335.438,0
281,28100000,100000,33513654,335.137,0
