block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,33548262,335.483,0
1,100000,100000,63545184,635.452,0
2,200000,100000,63499537,634.995,0
3,300000,100000,33631704,336.317,0
4,400000,100000,33576151,335.762,0
5,500000,100000,33468066,334.681,0
6,600000,100000,43583917,435.839,0
7,700000,100000,83527614,835.276,0
8,800000,100000,53502913,535.029,0
9,900000,100000,33459210,334.592,0
10,1000000,100000,33576433,335.764,0
11,1100000,100000,33456786,334.568,0
12,1200000,100000,33472914,334.729,0
13,1300000,100000,73520971,735.210,0
14,1400000,100000,63507145,635.071,0
15,1500000,100000,33479412,334.794,0
16,1600000,100000,33457176,334.572,0
17,1700000,100000,33527437,335.274,0
18,1800000,100000,73546464,735.465,0
19,1900000,100000,63507619,635.076,0
20,2000000,100000,43567068,435.671,0
21,2100000,100000,33587035,335.870,0
22,2200000,100000,33538044,335.380,0
23,2300000,100000,33560820,335.608,0
24,2400000,100000,43640395,436.404,0
25,2500000,100000,73503295,735.033,0
26,2600000,100000,53528646,535.286,0
27,2700000,100000,33546576,335.466,0
28,2800000,100000,33554371,335.544,0
29,2900000,100000,33501810,335.018,0
30,3000000,100000,43488877,434.889,0
31,3100000,100000,73504116,735.041,0
32,3200000,100000,33511333,335.113,0
33,3300000,100000,33466680,334.667,0
34,3400000,100000,33464202,334.642,0
35,3500000,100000,33660397,336.604,0
36,3600000,100000,63499032,634.990,0
37,3700000,100000,73530235,735.302,0
38,3800000,100000,33565962,335.660,0
39,3900000,100000,33552529,335.525,0
40,4000000,100000,33475848,334.758,0
41,4100000,100000,63499789,634.998,0
42,4200000,100000,63507474,635.075,0
43,4300000,100000,53515045,535.150,0
44,4400000,100000,33630234,336.302,0
45,4500000,100000,33469368,334.694,0
46,4600000,100000,33512281,335.123,0
47,4700000,100000,33474606,334.746,0
48,4800000,100000,73496491,734.965,0
49,4900000,100000,63519798,635.198,0
50,5000000,100000,33533995,335.340,0
51,5100000,100000,33568158,335.682,0
52,5200000,100000,33473466,334.735,0
53,5300000,100000,73496089,734.961,0
54,5400000,100000,73537507,735.375,0
55,5500000,100000,33474546,334.745,0
56,5600000,100000,33517093,335.171,0
57,5700000,100000,33465912,334.659,0
58,5800000,100000,33548028,335.480,0
59,5900000,100000,43489201,434.892,0
60,6000000,100000,83526349,835.263,0
61,6100000,100000,43483170,434.832,0
62,6200000,100000,33553656,335.537,0
63,6300000,100000,33477151,334.772,0
64,6400000,100000,43583520,435.835,0
65,6500000,100000,73503637,735.036,0
66,6600000,100000,73534482,735.345,0
67,6700000,100000,63524521,635.245,0
68,6800000,100000,73535203,735.352,0
69,6900000,100000,53503986,535.040,0
70,7000000,100000,73567417,735.674,0
71,7100000,100000,73533961,735.340,0
72,7200000,100000,43498350,434.983,0
73,7300000,100000,33474157,334.742,0
74,7400000,100000,33490188,334.902,0
75,7500000,100000,43497540,434.975,0
76,7600000,100000,73512595,735.126,0
77,7700000,100000,53530027,535.300,0
78,7800000,100000,33466782,334.668,0
79,7900000,100000,33477312,334.773,0
80,8000000,100000,33626023,336.260,0
81,8100000,100000,33560688,335.607,0
82,8200000,100000,73554463,735.545,0
83,8300000,100000,63503856,635.039,0
84,8400000,100000,63590557,635.906,0
85,8500000,100000,63538741,635.387,0
86,8600000,100000,33554040,335.540,0
87,8700000,100000,33614400,336.144,0
88,8800000,100000,33473695,334.737,0
89,8900000,100000,33472836,334.728,0
90,9000000,100000,73496551,734.966,0
91,9100000,100000,63520152,635.202,0
92,9200000,100000,33521995,335.220,0
93,9300000,100000,33456516,334.565,0
94,9400000,100000,33680496,336.805,0
95,9500000,100000,73496059,734.961,0
96,9600000,100000,63506317,635.063,0
97,9700000,100000,63543924,635.439,0
98,9800000,100000,63510463,635.105,0
99,9900000,100000,73529683,735.297,0
100,10000000,100000,73500108,735.001,0
101,10100000,100000,53575831,535.758,0
102,10200000,100000,83550025,835.500,0
103,10300000,100000,53504562,535.046,0
104,10400000,100000,73517539,735.175,0
105,10500000,100000,63539449,635.394,0
106,10600000,100000,63546204,635.462,0
107,10700000,100000,63555313,635.553,0
108,10800000,100000,73543879,735.439,0
109,10900000,100000,73501182,735.012,0
110,11000000,100000,63523657,635.237,0
111,11100000,100000,63544597,635.446,0
112,11200000,100000,33542586,335.426,0
113,11300000,100000,33493236,334.932,0
114,11400000,100000,33483301,334.833,0
115,11500000,100000,73512132,735.121,0
116,11600000,100000,73535053,735.351,0
117,11700000,100000,53503303,535.033,0
118,11800000,100000,73511976,735.120,0
119,11900000,100000,73534585,735.346,0
120,12000000,100000,43640011,436.400,0
121,12100000,100000,33475152,334.752,0
122,12200000,100000,33523752,335.238,0
123,12300000,100000,33485035,334.850,0
124,12400000,100000,43501710,435.017,0
125,12500000,100000,73536487,735.365,0
126,12600000,100000,33578898,335.789,0
127,12700000,100000,33474822,334.748,0
128,12800000,100000,33506011,335.060,0
129,12900000,100000,33576372,335.764,0
130,13000000,100000,33596352,335.964,0
131,13100000,100000,73506571,735.066,0
132,13200000,100000,63516397,635.164,0
133,13300000,100000,33619836,336.198,0
134,13400000,100000,33560982,335.610,0
135,13500000,100000,33477031,334.770,0
136,13600000,100000,63686262,636.863,0
137,13700000,100000,63516535,635.165,0
138,13800000,100000,73620541,736.205,0
139,13900000,100000,73496694,734.967,0
140,14000000,100000,63523135,635.231,0
141,14100000,100000,73548835,735.488,0
142,14200000,100000,43502280,435.023,0
143,14300000,100000,33487537,334.875,0
144,14400000,100000,83540322,835.403,0
145,14500000,100000,63506233,635.062,0
146,14600000,100000,53503405,535.034,0
147,14700000,100000,83538834,835.388,0
148,14800000,100000,53577463,535.775,0
149,14900000,100000,73509133,735.091,0
150,15000000,100000,73520238,735.202,0
151,15100000,100000,53512861,535.129,0
152,15200000,100000,83530663,835.307,0
153,15300000,100000,53503782,535.038,0
154,15400000,100000,73513063,735.131,0
155,15500000,100000,73531915,735.319,0
156,15600000,100000,43596660,435.967,0
157,15700000,100000,33609757,336.098,0
158,15800000,100000,83545824,835.458,0
159,15900000,100000,63502105,635.021,0
160,16000000,100000,53503387,535.034,0
161,16100000,100000,73533930,735.339,0
162,16200000,100000,63516913,635.169,0
163,16300000,100000,73508431,735.084,0
164,16400000,100000,73524300,735.243,0
165,16500000,100000,63509293,635.093,0
166,16600000,100000,73534927,735.349,0
167,16700000,100000,53505432,535.054,0
168,16800000,100000,73516315,735.163,0
169,16900000,100000,73528615,735.286,0
170,17000000,100000,43507656,435.077,0
171,17100000,100000,33579726,335.797,0
172,17200000,100000,83549197,835.492,0
173,17300000,100000,53504311,535.043,0
174,17400000,100000,33481158,334.812,0
175,17500000,100000,72785911,727.859,0
176,17600000,100000,63522781,635.228,0
177,17700000,100000,33491052,334.911,0
