time_h,avg_ns
0.000009315,335.324
0.000018612,334.725
0.000027967,336.774
0.000037263,334.654
0.000046587,335.671
0.000055940,336.704
0.000065236,334.650
0.000074574,336.155
0.000083872,334.752
0.000093170,334.718
0.000102466,334.636
0.000111804,336.186
0.000121102,334.734
0.000130401,334.738
0.000139701,334.806
0.000148997,334.652
0.000158294,334.696
0.000167619,335.694
0.000176943,335.669
0.000186268,335.697
0.000195565,334.721
0.000204881,335.365
0.000214208,335.770
0.000223505,334.703
0.000232850,336.397
0.000242150,334.819
0.000251460,335.152
0.000260812,336.682
0.000270111,334.752
0.000279409,334.732
0.000288757,336.531
0.000298058,334.835
0.000307382,335.667
0.000316681,334.745
0.000325989,335.101
0.000335311,335.592
0.000344665,336.729
0.000353960,334.639
0.000363258,334.721
0.000372585,335.755
0.000381893,335.097
0.000391214,335.568
0.000400539,335.697
0.000409885,336.466
0.000419208,335.614
0.000428518,335.149
0.000437858,336.242
0.000447166,335.114
0.000456464,334.711
0.000465760,334.647
0.000475096,336.114
0.000484428,335.937
0.000493766,336.182
0.000503064,334.735
0.000512389,335.691
0.000521714,335.708
0.000531022,335.083
0.000540340,335.425
0.000549646,335.034
0.000558981,336.065
0.000568321,336.242
0.000577630,335.126
0.000586963,335.971
0.000596280,335.434
0.000605580,334.798
0.000614912,335.945
0.000624209,334.702
0.000633539,335.847
0.000642863,335.670
0.000652182,335.481
0.000661509,335.781
0.000670856,336.503
0.000680155,334.771
0.000689456,334.813
0.000698778,335.606
0.000708079,334.820
0.000717374,334.636
0.000726691,335.404
0.000736016,335.694
0.000745313,334.720
0.000754630,335.387
0.000763957,335.769
0.000773277,335.519
0.000782601,335.679
0.000791902,334.841
0.000801198,334.647
0.000810496,334.724
0.000819821,335.694
0.000829119,334.724
0.000838477,336.908
0.000847804,335.764
0.000857101,334.697
0.000866426,335.693
0.000875750,335.668
0.000885066,335.374
0.000894373,335.042
0.000903668,334.642
0.000912966,334.725
0.000922266,334.793
0.000931562,334.645
0.000940859,334.713
0.000950158,334.744
0.000959456,334.737
0.000968788,335.943
0.000978116,335.806
0.000987428,335.245
0.000996752,335.678
0.001006079,335.753
0.001015393,335.322
0.001024720,335.767
0.001034018,334.712
0.001043316,334.744
0.001052614,334.739
0.001061912,334.719
0.001071230,335.431
0.001080557,335.762
0.001089875,335.476
0.001099171,334.651
0.001108498,335.762
0.001117793,334.639
0.001127117,335.667
0.001136442,335.687
0.001145740,334.723
0.001155093,336.698
0.001164415,335.597
0.001173712,334.696
0.001183037,335.691
0.001192334,334.717
0.001201630,334.639
0.001210930,334.812
0.001220253,335.604
0.001229581,335.828
0.001238882,334.834
0.001248205,335.610
0.001257502,334.712
0.001266801,334.755
0.001276102,334.823
0.001285434,335.954
0.001294761,335.777
0.001304083,335.597
0.001313410,335.776
0.001322732,335.592
0.001332043,335.204
0.001341344,334.809
0.001350675,335.935
0.001360035,336.972
0.001369334,334.733
0.001378631,334.719
0.001387939,335.065
0.001397266,335.769
0.001406563,334.705
0.001415859,334.644
0.001425185,335.764
0.001434499,335.275
0.001443808,335.150
0.001453130,335.592
0.001462471,336.261
0.001471797,335.750
0.001481093,334.654
0.001490390,334.695
0.001499716,335.710
0.001509425,349.534
0.001518748,335.628
0.001528076,335.831
0.001537374,334.726
0.001546675,334.827
0.001556023,336.524
0.001565320,334.701
0.001574648,335.789
0.001583970,335.591
0.001593294,335.691
0.001602619,335.691
0.001611943,335.665
0.001621239,334.637
0.001630565,335.758
0.001639862,334.695
0.001649158,334.640
0.001658458,334.808
0.001667780,335.591
0.001677081,334.814
0.001686412,335.930
0.001695730,335.449
0.001705030,334.795
0.001714352,335.599
0.001723649,334.693
0.001732947,334.734
0.001742245,334.712
0.001751566,335.581
0.001760867,334.812
0.001770212,336.413
0.001779541,335.852
0.001788871,335.877
0.001798167,334.651
0.001807467,334.812
0.001816763,334.644
0.001826060,334.714
0.001835385,335.685
0.001844709,335.668
0.001854052,336.345
0.001863383,335.909
0.001872706,335.651
0.001882002,334.647
0.001891302,334.807
0.001900598,334.638
0.001909946,336.544
0.001919273,335.769
0.001928590,335.395
0.001937885,334.643
0.001947213,335.788
0.001956554,336.300
0.001965853,334.766
0.001975151,334.724
0.001984490,336.179
0.001993823,336.007
0.002003145,335.597
0.002012469,335.648
0.002021769,334.809
0.002031065,334.650
0.002040374,335.114
0.002049699,335.704
0.002058996,334.716
0.002068302,334.989
0.002077604,334.897
0.002086918,335.306
0.002096219,334.820
0.002105516,334.704
0.002114812,334.645
0.002124122,335.146
0.002133429,335.048
0.002142768,336.203
0.002152066,334.734
0.002161376,335.188
0.002170672,334.638
0.002179999,335.756
0.002189296,334.700
0.002198591,334.646
0.002207892,334.805
0.002217213,335.582
0.002226511,334.714
0.002235835,335.682
0.002245169,336.005
0.002254498,335.846
0.002263794,334.653
0.002273091,334.705
0.002282416,335.697
0.002291740,335.666
0.002301084,336.369
0.002310389,334.987
0.002319684,334.636
0.002329021,336.128
0.002338350,335.849
0.002347647,334.673
0.002356944,334.701
0.002366269,335.697
0.002375585,335.383
0.002384883,334.726
0.002394181,334.717
0.002403476,334.636
0.002412803,335.767
0.002422100,334.692
0.002431432,335.935
0.002440758,335.754
0.002450054,334.631
0.002459365,335.212
0.002468663,334.733
0.002477961,334.719
0.002487256,334.637
0.002496557,334.807
0.002505856,334.796
0.002515153,334.659
0.002524481,335.825
0.002533776,334.635
0.002543074,334.711
0.002552399,335.695
0.002561715,335.385
0.002571041,335.749
0.002580348,335.032
0.002589645,334.693
0.002598979,336.020
0.002608278,334.779
0.002617588,335.140
0.002626920,335.965
0.002636216,334.641
0.002645541,335.698
0.002654840,334.795
0.002664136,334.651
0.002673433,334.695
0.002682732,334.745
0.002692048,335.399
0.002701370,335.588
0.002710671,334.817
0.002720011,336.261
0.002729338,335.764
0.002738635,334.699
0.002747933,334.711
0.002757239,335.039
0.002766558,335.468
0.002775870,335.213
0.002785168,334.732
0.002794492,335.668
0.002803838,336.451
0.002813164,335.762
0.002822461,334.698
0.002831757,334.640
0.002841084,335.763
0.002850406,335.591
0.002859733,335.769
0.002869055,335.591
0.002878352,334.715
0.002887671,335.490
0.002897009,336.140
0.002906333,335.692
0.002915632,334.757
0.002924944,335.217
0.002934263,335.479
0.002943599,336.103
0.002952894,334.637
0.002962218,335.665
0.002971518,334.799
0.002980814,334.643
0.002990152,336.166
0.002999475,335.625
