time_s,latency_ns,mismatch
0.000336186,336.186,0
0.000671754,335.568,0
0.001007148,335.394,0
0.001342644,335.496,0
0.001678188,335.544,0
0.002016894,338.706,0
0.002352438,335.544,0
0.002691042,338.604,0
0.003026508,335.466,0
0.003361974,335.466,0
0.003697404,335.430,0
0.004032936,335.532,0
0.004368384,335.448,0
0.004703856,335.472,0
0.005042550,338.694,0
0.005378022,335.472,0
0.015745872,10367.850,0
0.016081578,335.706,0
0.016417104,335.526,0
0.016752582,335.478,0
0.017088030,335.448,0
0.017423502,335.472,0
0.017758974,335.472,0
0.018094416,335.442,0
0.018429948,335.532,0
0.018765420,335.472,0
0.019100922,335.502,0
0.019436388,335.466,0
0.019775052,338.664,0
0.020110566,335.514,0
0.020446098,335.532,0
0.020781558,335.460,0
0.021117792,336.234,0
0.021453474,335.682,0
0.021789000,335.526,0
0.022124508,335.508,0
0.022460034,335.526,0
0.022795536,335.502,0
0.023131056,335.520,0
0.023466540,335.484,0
0.023802060,335.520,0
0.024137484,335.424,0
0.024472992,335.508,0
0.024811692,338.700,0
0.035205342,10393.650,0
0.035541198,335.856,0
0.035879874,338.676,0
0.036215310,335.436,0
0.036550788,335.478,0
0.036886236,335.448,0
0.037224846,338.610,0
0.037560342,335.496,0
0.037895772,335.430,0
0.038231262,335.490,0
0.038566716,335.454,0
0.038902230,335.514,0
0.039237660,335.430,0
0.039573132,335.472,0
0.039908712,335.580,0
0.040244118,335.406,0
0.040579614,335.496,0
0.040915056,335.442,0
0.041250510,335.454,0
0.041586000,335.490,0
0.041921538,335.538,0
0.042257394,335.856,0
0.042592950,335.556,0
0.042928446,335.496,0
0.043263852,335.406,0
0.043599348,335.496,0
0.043934808,335.460,0
0.044273472,338.664,0
0.044608998,335.526,0
0.054971652,10362.654,0
0.055307292,335.640,0
0.055642860,335.568,0
0.055978332,335.472,0
0.056317026,338.694,0
0.056652492,335.466,0
0.056987982,335.490,0
0.057323430,335.448,0
0.057658926,335.496,0
0.057994428,335.502,0
0.058329876,335.448,0
0.058668456,338.580,0
0.059003952,335.496,0
0.059339364,335.412,0
0.059674848,335.484,0
0.060010368,335.520,0
0.060345846,335.478,0
0.060681252,335.406,0
0.061016784,335.532,0
0.061352268,335.484,0
0.061687752,335.484,0
0.062026350,338.598,0
0.062361912,335.562,0
0.062697354,335.442,0
0.063032766,335.412,0
0.063368730,335.964,0
0.063704274,335.544,0
