block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,33631590,336.316,0
1,100000,100000,33570073,335.701,0
2,200000,100000,33531132,335.311,0
3,300000,100000,33482082,334.821,0
4,400000,100000,33465001,334.650,0
5,500000,100000,33478110,334.781,0
6,600000,100000,33474696,334.747,0
7,700000,100000,33567337,335.673,0
8,800000,100000,33471546,334.715,0
9,900000,100000,33482556,334.826,0
10,1000000,100000,33558757,335.588,0
11,1100000,100000,33517866,335.179,0
12,1200000,100000,33470190,334.702,0
13,1300000,100000,33594031,335.940,0
14,1400000,100000,33580860,335.809,0
15,1500000,100000,33464790,334.648,0
16,1600000,100000,33471349,334.713,0
17,1700000,100000,33472968,334.730,0
18,1800000,100000,33477474,334.775,0
19,1900000,100000,33463501,334.635,0
20,2000000,100000,33496230,334.962,0
21,2100000,100000,33477174,334.772,0
22,2200000,100000,33465073,334.651,0
23,2300000,100000,33481110,334.811,0
24,2400000,100000,33468930,334.689,0
25,2500000,100000,33472957,334.730,0
26,2600000,100000,33472734,334.727,0
27,2700000,100000,33566472,335.665,0
28,2800000,100000,33580627,335.806,0
29,2900000,100000,33499770,334.998,0
30,3000000,100000,33595278,335.953,0
31,3100000,100000,33499459,334.995,0
32,3200000,100000,33474174,334.742,0
33,3300000,100000,33538290,335.383,0
34,3400000,100000,33583159,335.832,0
35,3500000,100000,33464526,334.645,0
36,3600000,100000,33567360,335.674,0
37,3700000,100000,33484657,334.847,0
38,3800000,100000,33561360,335.614,0
39,3900000,100000,33470490,334.705,0
40,4000000,100000,33664297,336.643,0
41,4100000,100000,33478434,334.784,0
42,4200000,100000,33558708,335.587,0
43,4300000,100000,33481405,334.814,0
44,4400000,100000,33470400,334.704,0
45,4500000,100000,33576894,335.769,0
46,4600000,100000,33561379,335.614,0
47,4700000,100000,33469650,334.697,0
48,4800000,100000,33577422,335.774,0
49,4900000,100000,33463825,334.638,0
50,5000000,100000,33470898,334.709,0
51,5100000,100000,33575082,335.751,0
52,5200000,100000,33566989,335.670,0
53,5300000,100000,33546474,335.465,0
54,5400000,100000,33582882,335.829,0
55,5500000,100000,33470389,334.704,0
56,5600000,100000,33553818,335.538,0
57,5700000,100000,33581250,335.812,0
58,5800000,100000,33530713,335.307,0
59,5900000,100000,33471468,334.715,0
60,6000000,100000,33468126,334.681,0
61,6100000,100000,33542401,335.424,0
62,6200000,100000,33509196,335.092,0
63,6300000,100000,33464292,334.643,0
64,6400000,100000,33628405,336.284,0
65,6500000,100000,33568872,335.689,0
66,6600000,100000,33566832,335.668,0
67,6700000,100000,33565849,335.658,0
68,6800000,100000,33672390,336.724,0
69,6900000,100000,33517770,335.178,0
70,7000000,100000,33572035,335.720,0
71,7100000,100000,33576510,335.765,0
72,7200000,100000,33464928,334.649,0
73,7300000,100000,33469609,334.696,0
74,7400000,100000,33575940,335.759,0
75,7500000,100000,33567600,335.676,0
76,7600000,100000,33567775,335.678,0
77,7700000,100000,33572472,335.725,0
78,7800000,100000,33633132,336.331,0
79,7900000,100000,33502147,335.021,0
80,8000000,100000,33558390,335.584,0
81,8100000,100000,33464616,334.646,0
82,8200000,100000,33595783,335.958,0
83,8300000,100000,33467916,334.679,0
84,8400000,100000,33473370,334.734,0
85,8500000,100000,33568999,335.690,0
86,8600000,100000,33470844,334.708,0
87,8700000,100000,33469458,334.695,0
88,8800000,100000,33481981,334.820,0
89,8900000,100000,33565896,335.659,0
90,9000000,100000,33729780,337.298,0
91,9100000,100000,33570973,335.710,0
92,9200000,100000,33464190,334.642,0
93,9300000,100000,33489630,334.896,0
94,9400000,100000,33464035,334.640,0
95,9500000,100000,33567204,335.672,0
96,9600000,100000,33578934,335.789,0
97,9700000,100000,33560347,335.603,0
98,9800000,100000,33469878,334.699,0
99,9900000,100000,33486558,334.866,0
100,10000000,100000,33552439,335.524,0
101,10100000,100000,33464502,334.645,0
102,10200000,100000,33489192,334.892,0
103,10300000,100000,33598609,335.986,0
104,10400000,100000,33507606,335.076,0
105,10500000,100000,33511218,335.112,0
106,10600000,100000,33533095,335.331,0
107,10700000,100000,33577896,335.779,0
108,10800000,100000,33593412,335.934,0
109,10900000,100000,33472315,334.723,0
110,11000000,100000,33487344,334.873,0
111,11100000,100000,33569010,335.690,0
112,11200000,100000,33638563,336.386,0
113,11300000,100000,33582846,335.828,0
114,11400000,100000,33522480,335.225,0
115,11500000,100000,33689653,336.897,0
116,11600000,100000,33608214,336.082,0
117,11700000,100000,33524712,335.247,0
118,11800000,100000,33566533,335.665,0
119,11900000,100000,33573786,335.738,0
120,12000000,100000,33473904,334.739,0
121,12100000,100000,33488611,334.886,0
122,12200000,100000,33503484,335.035,0
123,12300000,100000,33475980,334.760,0
124,12400000,100000,33569149,335.691,0
125,12500000,100000,33566898,335.669,0
126,12600000,100000,33564132,335.641,0
127,12700000,100000,33498643,334.986,0
128,12800000,100000,33514602,335.146,0
129,12900000,100000,33475644,334.756,0
130,13000000,100000,33480757,334.808,0
131,13100000,100000,33520968,335.210,0
132,13200000,100000,33469374,334.694,0
133,13300000,100000,33580897,335.809,0
134,13400000,100000,33471906,334.719,0
135,13500000,100000,33567972,335.680,0
136,13600000,100000,33477301,334.773,0
137,13700000,100000,33558528,335.585,0
138,13800000,100000,33487254,334.873,0
139,13900000,100000,33477109,334.771,0
140,14000000,100000,33671256,336.713,0
141,14100000,100000,33484350,334.844,0
142,14200000,100000,33564037,335.640,0
143,14300000,100000,33569244,335.692,0
144,14400000,100000,33568476,335.685,0
145,14500000,100000,33471865,334.719,0
146,14600000,100000,33469620,334.696,0
147,14700000,100000,33576180,335.762,0
148,14800000,100000,33565267,335.653,0
149,14900000,100000,33563232,335.632,0
150,15000000,100000,33584364,335.844,0
151,15100000,100000,33465811,334.658,0
152,15200000,100000,33489276,334.893,0
153,15300000,100000,33651270,336.513,0
154,15400000,100000,33471391,334.714,0
155,15500000,100000,33483126,334.831,0
156,15600000,100000,33508626,335.086,0
157,15700000,100000,33522391,335.224,0
158,15800000,100000,33587820,335.878,0
159,15900000,100000,33478116,334.781,0
160,16000000,100000,33546685,335.467,0
161,16100000,100000,33481428,334.814,0
162,16200000,100000,33638766,336.388,0
163,16300000,100000,33473203,334.732,0
164,16400000,100000,33479226,334.792,0
165,16500000,100000,33564810,335.648,0
166,16600000,100000,33576415,335.764,0
167,16700000,100000,33463614,334.636,0
168,16800000,100000,33471324,334.713,0
169,16900000,100000,33507961,335.080,0
170,17000000,100000,33472806,334.728,0
171,17100000,100000,33463374,334.634,0
172,17200000,100000,33487537,334.875,0
173,17300000,100000,33556140,335.561,0
174,17400000,100000,33559368,335.594,0
175,17500000,100000,33676303,336.763,0
176,17600000,100000,33464562,334.646,0
177,17700000,100000,33471552,334.716,0
178,17800000,100000,33572731,335.727,0
179,17900000,100000,33473784,334.738,0
180,18000000,100000,33593460,335.935,0
181,18100000,100000,33489103,334.891,0
182,18200000,100000,33476472,334.765,0
183,18300000,100000,33569940,335.699,0
184,18400000,100000,33505795,335.058,0
185,18500000,100000,33469680,334.697,0
186,18600000,100000,33578064,335.781,0
187,18700000,100000,33463081,334.631,0
188,18800000,100000,33476238,334.762,0
189,18900000,100000,33482766,334.828,0
190,19000000,100000,33464407,334.644,0
191,19100000,100000,33469944,334.699,0
192,19200000,100000,33575958,335.760,0
193,19300000,100000,33471901,334.719,0
194,19400000,100000,33546966,335.470,0
195,19500000,100000,33582558,335.826,0
196,19600000,100000,33558943,335.589,0
