block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,33532026,335.320,0
1,100000,100000,33565692,335.657,0
2,200000,100000,33480097,334.801,0
3,300000,100000,33569322,335.693,0
4,400000,100000,33465174,334.652,0
5,500000,100000,33579241,335.792,0
6,600000,100000,33526062,335.261,0
7,700000,100000,33473226,334.732,0
8,800000,100000,33578845,335.788,0
9,900000,100000,33560988,335.610,0
10,1000000,100000,33481164,334.812,0
11,1100000,100000,33465841,334.658,0
12,1200000,100000,33472332,334.723,0
13,1300000,100000,33591222,335.912,0
14,1400000,100000,33650719,336.507,0
15,1500000,100000,33542856,335.429,0
16,1600000,100000,33480618,334.806,0
17,1700000,100000,33546475,335.465,0
18,1800000,100000,33549654,335.497,0
19,1900000,100000,33504330,335.043,0
20,2000000,100000,33616843,336.168,0
21,2100000,100000,33471018,334.710,0
22,2200000,100000,33567804,335.678,0
23,2300000,100000,33535009,335.350,0
24,2400000,100000,33574074,335.741,0
25,2500000,100000,33558978,335.590,0
26,2600000,100000,33527329,335.273,0
27,2700000,100000,33524928,335.249,0
28,2800000,100000,33623550,336.236,0
29,2900000,100000,33513505,335.135,0
30,3000000,100000,33498276,334.983,0
31,3100000,100000,33540690,335.407,0
32,3200000,100000,33556873,335.569,0
33,3300000,100000,33574230,335.742,0
34,3400000,100000,33522348,335.223,0
35,3500000,100000,33469315,334.693,0
36,3600000,100000,33473574,334.736,0
37,3700000,100000,33566568,335.666,0
38,3800000,100000,33568519,335.685,0
39,3900000,100000,33566748,335.667,0
40,4000000,100000,33532890,335.329,0
41,4100000,100000,33506521,335.065,0
42,4200000,100000,33511644,335.116,0
43,4300000,100000,33517992,335.180,0
44,4400000,100000,33576619,335.766,0
45,4500000,100000,33639462,336.395,0
46,4600000,100000,33650316,336.503,0
47,4700000,100000,33495013,334.950,0
48,4800000,100000,33639018,336.390,0
49,4900000,100000,33462978,334.630,0
50,5000000,100000,33575983,335.760,0
51,5100000,100000,33469722,334.697,0
52,5200000,100000,33568758,335.688,0
