block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,33504793,335.048,0
1,100000,100000,33600654,336.007,0
2,200000,100000,33502740,335.027,0
3,300000,100000,33567619,335.676,0
4,400000,100000,33485556,334.856,0
5,500000,100000,33466482,334.665,0
6,600000,100000,33469309,334.693,0
7,700000,100000,33474768,334.748,0
8,800000,100000,33527634,335.276,0
9,900000,100000,33545689,335.457,0
10,1000000,100000,33694194,336.942,0
11,1100000,100000,33469452,334.695,0
12,1200000,100000,33472219,334.722,0
13,1300000,100000,33478680,334.787,0
14,1400000,100000,33469326,334.693,0
15,1500000,100000,33471420,334.714,0
16,1600000,100000,33474421,334.744,0
17,1700000,100000,33471180,334.712,0
18,1800000,100000,33478998,334.790,0
19,1900000,100000,33567163,335.672,0
20,2000000,100000,33462990,334.630,0
21,2100000,100000,33512460,335.125,0
22,2200000,100000,33511189,335.112,0
23,2300000,100000,33464454,334.645,0
24,2400000,100000,33498006,334.980,0
25,2500000,100000,33506731,335.067,0
26,2600000,100000,33559638,335.596,0
27,2700000,100000,33480384,334.804,0
28,2800000,100000,33568057,335.681,0
29,2900000,100000,33646470,336.465,0
30,3000000,100000,33481074,334.811,0
31,3100000,100000,33571429,335.714,0
32,3200000,100000,33593634,335.936,0
33,3300000,100000,33481164,334.812,0
34,3400000,100000,33565705,335.657,0
35,3500000,100000,33577248,335.772,0
36,3600000,100000,33462210,334.622,0
37,3700000,100000,33476677,334.767,0
38,3800000,100000,33576270,335.763,0
39,3900000,100000,33508812,335.088,0
40,4000000,100000,33598693,335.987,0
41,4100000,100000,33481224,334.812,0
42,4200000,100000,33470892,334.709,0
43,4300000,100000,33643117,336.431,0
44,4400000,100000,33487758,334.878,0
45,4500000,100000,33616146,336.161,0
46,4600000,100000,33567091,335.671,0
47,4700000,100000,33485886,334.859,0
48,4800000,100000,33464544,334.645,0
49,4900000,100000,33481303,334.813,0
50,5000000,100000,33502458,335.025,0
51,5100000,100000,33472242,334.722,0
52,5200000,100000,33568807,335.688,0
53,5300000,100000,33511350,335.113,0
54,5400000,100000,33587298,335.873,0
55,5500000,100000,33488011,334.880,0
56,5600000,100000,33469998,334.700,0
57,5700000,100000,33472296,334.723,0
58,5800000,100000,33498079,334.981,0
59,5900000,100000,33514662,335.147,0
60,6000000,100000,33477198,334.772,0
61,6100000,100000,33474829,334.748,0
62,6200000,100000,33471942,334.719,0
63,6300000,100000,33463548,334.635,0
64,6400000,100000,33677359,336.774,0
65,6500000,100000,33470178,334.702,0
66,6600000,100000,33664554,336.646,0
67,6700000,100000,33609601,336.096,0
68,6800000,100000,33618090,336.181,0
69,6900000,100000,33481764,334.818,0
70,7000000,100000,33470413,334.704,0
71,7100000,100000,33566760,335.668,0
72,7200000,100000,33479382,334.794,0
73,7300000,100000,33613465,336.135,0
74,7400000,100000,33471138,334.711,0
75,7500000,100000,33568710,335.687,0
76,7600000,100000,33567199,335.672,0
77,7700000,100000,33559506,335.595,0
78,7800000,100000,33577314,335.773,0
79,7900000,100000,33558601,335.586,0
80,8000000,100000,33583296,335.833,0
81,8100000,100000,33600432,336.004,0
82,8200000,100000,33464857,334.649,0
83,8300000,100000,33486024,334.860,0
84,8400000,100000,33553218,335.532,0
85,8500000,100000,33572263,335.723,0
86,8600000,100000,33478434,334.784,0
87,8700000,100000,33473526,334.735,0
88,8800000,100000,33688873,336.889,0
89,8900000,100000,33481230,334.812,0
90,9000000,100000,33476808,334.768,0
91,9100000,100000,33559639,335.596,0
92,9200000,100000,33584658,335.847,0
93,9300000,100000,33565062,335.651,0
94,9400000,100000,33472231,334.722,0
95,9500000,100000,33473382,334.734,0
96,9600000,100000,33476946,334.769,0
97,9700000,100000,33481369,334.814,0
98,9800000,100000,33464124,334.641,0
99,9900000,100000,33564546,335.645,0
100,10000000,100000,33481123,334.811,0
101,10100000,100000,33512946,335.129,0
102,10200000,100000,33558210,335.582,0
103,10300000,100000,33582331,335.823,0
104,10400000,100000,33463308,334.633,0
105,10500000,100000,33471828,334.718,0
106,10600000,100000,33500977,335.010,0
107,10700000,100000,33516858,335.169,0
108,10800000,100000,33598644,335.986,0
109,10900000,100000,33573319,335.733,0
110,11000000,100000,33480804,334.808,0
111,11100000,100000,33559002,335.590,0
112,11200000,100000,33481837,334.818,0
113,11300000,100000,33564780,335.648,0
114,11400000,100000,33589482,335.895,0
