run,run_dir,n_blocks,mean_avg_ns,min_avg_ns,max_avg_ns,std_avg_ns,mismatches,elapsed_s
1,run_01,1800,335.220,334.544,396.826,2.062,0,60.339690
2,run_02,1800,335.221,334.541,404.418,2.236,0,60.339767
3,run_03,1800,335.219,334.545,403.862,2.239,0,60.339364
4,run_04,1800,335.214,334.544,404.096,2.237,0,60.338543
5,run_05,1800,335.216,334.542,403.930,2.229,0,60.338957
6,run_06,1800,335.239,334.545,404.316,2.246,0,60.343030
7,run_07,1800,335.222,334.543,397.333,2.129,0,60.339893
8,run_08,1800,335.272,334.543,445.623,3.121,0,60.348897
9,run_09,1800,335.245,334.545,405.130,2.318,0,60.344184
10,run_10,1800,335.224,334.545,406.184,2.278,0,60.340409
11,run_11,1800,335.216,334.535,404.360,2.251,0,60.338908
12,run_12,1800,335.230,334.543,404.569,2.249,0,60.341327
13,run_13,1800,335.211,334.545,404.098,2.311,0,60.337945
14,run_14,1800,335.270,334.544,404.345,2.259,0,60.348610
15,run_15,1800,335.222,334.546,405.245,2.244,0,60.339876
16,run_16,1800,335.228,334.539,405.457,2.275,0,60.341070
17,run_17,1800,335.238,334.543,404.347,2.241,0,60.342834
18,run_18,1800,335.213,334.536,404.777,2.233,0,60.338312
19,run_19,1800,335.230,334.545,404.289,2.231,0,60.341326
20,run_20,1800,335.220,334.531,404.923,2.250,0,60.339643
21,run_21,1800,335.215,334.541,410.989,2.346,0,60.338640
22,run_22,1800,335.275,334.546,404.393,2.648,0,60.349539
23,run_23,1800,335.229,334.542,404.581,2.252,0,60.341257
24,run_24,1800,335.228,334.543,397.034,2.128,0,60.340984
25,run_25,1800,335.234,334.545,399.969,2.193,0,60.342121
26,run_26,1800,335.213,334.545,405.100,2.230,0,60.338386
27,run_27,1800,335.253,334.542,404.620,2.418,0,60.345521
28,run_28,1800,335.223,334.544,404.539,2.236,0,60.340112
29,run_29,1800,335.241,334.543,404.218,2.245,0,60.343295
30,run_30,1800,335.235,334.538,399.616,2.164,0,60.342328
31,run_31,1800,335.231,334.543,403.921,2.212,0,60.341583
32,run_32,1800,335.223,334.545,404.153,2.314,0,60.340200
33,run_33,1800,335.252,334.546,405.428,2.346,0,60.345336
34,run_34,1800,335.197,334.544,403.906,1.779,0,60.335520
35,run_35,1800,335.221,334.546,404.401,2.240,0,60.339824
36,run_36,1800,335.251,334.542,404.130,2.255,0,60.345244
37,run_37,1800,335.229,334.541,398.731,2.227,0,60.341183
38,run_38,1800,335.240,334.533,410.712,2.419,0,60.343141
39,run_39,1800,335.218,334.543,400.479,2.269,0,60.339263
40,run_40,1800,335.209,334.541,399.923,2.225,0,60.337597
41,run_41,1800,335.251,334.537,404.844,2.344,0,60.345161
42,run_42,1800,335.254,334.544,404.215,2.417,0,60.345695
43,run_43,1800,335.246,334.535,404.833,2.249,0,60.344364
44,run_44,1800,335.226,334.542,404.148,2.248,0,60.340718
45,run_45,1800,335.219,334.544,404.206,2.251,0,60.339466
46,run_46,1800,335.248,334.545,403.854,2.235,0,60.344717
47,run_47,1800,335.228,334.545,404.095,2.238,0,60.341006
48,run_48,1800,335.217,334.545,403.966,2.224,0,60.339025
49,run_49,1800,335.240,334.544,396.614,2.130,0,60.343267
50,run_50,1800,335.238,334.539,404.180,2.318,0,60.342838
51,run_51,1800,335.254,334.542,404.324,2.249,0,60.345784
52,run_52,1800,335.198,334.547,404.088,2.254,0,60.335649
53,run_53,1800,335.243,334.543,404.959,2.280,0,60.343728
54,run_54,1800,335.221,334.544,404.191,2.235,0,60.339840
55,run_55,1800,335.229,334.543,400.556,2.196,0,60.341247
56,run_56,1800,335.203,334.541,396.618,2.135,0,60.336564
57,run_57,1800,335.236,334.545,397.691,2.143,0,60.342561
58,run_58,1800,335.249,334.545,397.652,2.156,0,60.344895
59,run_59,1800,335.252,334.543,403.930,2.305,0,60.345389
60,run_60,1800,335.239,334.544,404.400,2.260,0,60.343093
