campaign,run,time_h,avg_ns,elapsed_s,mismatches
B_idle_5h,58,0.972316070,335.282,60.350690,0
B_idle_5h,59,0.989079775,335.274,60.349339,0
B_idle_5h,60,1.005843507,335.275,60.349434,0
B_idle_5h,61,1.022607547,335.281,60.350543,0
B_idle_5h,62,1.039371202,335.273,60.349157,0
B_idle_5h,63,1.056135109,335.278,60.350067,0
B_idle_5h,64,1.072897558,335.249,60.344816,0
B_idle_5h,65,1.089662746,335.304,60.354677,0
B_idle_5h,66,1.106426169,335.268,60.348324,0
B_idle_5h,67,1.123190256,335.282,60.350714,0
B_idle_5h,68,1.139955136,335.298,60.353565,0
B_idle_5h,69,1.156719168,335.281,60.350517,0
B_idle_5h,70,1.173482916,335.275,60.349493,0
B_idle_5h,71,1.190246189,335.265,60.347781,0
B_idle_5h,72,1.207010891,335.294,60.352928,0
B_idle_5h,73,1.223776015,335.302,60.354445,0
B_idle_5h,74,1.240539386,335.267,60.348135,0
B_idle_5h,75,1.257302442,335.261,60.347001,0
B_idle_5h,76,1.274066104,335.273,60.349184,0
B_idle_5h,77,1.290830830,335.295,60.353014,0
B_idle_5h,78,1.307595428,335.292,60.352552,0
B_idle_5h,79,1.324360373,335.299,60.353803,0
B_idle_5h,80,1.341124453,335.282,60.350690,0
B_idle_5h,81,1.357888530,335.282,60.350674,0
B_idle_5h,82,1.374651868,335.267,60.348017,0
B_idle_5h,83,1.391415264,335.268,60.348228,0
B_idle_5h,84,1.408179663,335.288,60.351836,0
B_idle_5h,85,1.424944813,335.303,60.354541,0
B_idle_5h,86,1.441708678,335.277,60.349912,0
B_idle_5h,87,1.458473037,335.287,60.351695,0
B_idle_5h,88,1.475236473,335.269,60.348369,0
B_idle_5h,89,1.492000180,335.274,60.349343,0
B_idle_5h,90,1.508764804,335.292,60.352650,0
B_idle_5h,91,1.525529321,335.290,60.352260,0
B_idle_5h,92,1.542293283,335.279,60.350264,0
B_idle_5h,93,1.559056454,335.263,60.347415,0
B_idle_5h,94,1.575820560,335.282,60.350780,0
B_idle_5h,95,1.592584614,335.281,60.350595,0
B_idle_5h,96,1.609349308,335.294,60.352898,0
B_idle_5h,97,1.626113214,335.278,60.350061,0
B_idle_5h,98,1.642877374,335.283,60.350978,0
B_idle_5h,99,1.659640578,335.264,60.347532,0
B_idle_5h,100,1.676404193,335.272,60.349017,0
B_idle_5h,101,1.693165930,335.235,60.342252,0
B_idle_5h,102,1.709928893,335.259,60.346667,0
B_idle_5h,103,1.726692393,335.270,60.348598,0
B_idle_5h,104,1.743455888,335.270,60.348584,0
B_idle_5h,105,1.760218901,335.260,60.346845,0
B_idle_5h,106,1.776982754,335.277,60.349870,0
B_idle_5h,107,1.793747192,335.289,60.351977,0
B_idle_5h,108,1.810511472,335.286,60.351409,0
B_idle_5h,109,1.827275897,335.288,60.351929,0
B_idle_5h,110,1.844040278,335.288,60.351774,0
