run,run_dir,avg_ns,elapsed_s,mismatches,trace_blocks,trace_mean_ns,trace_min_ns,trace_max_ns,trace_std_ns,trace_mismatches
1,run_01,335.246,33.524628,0,1000,335.246,334.625,337.017,0.588,0
2,run_02,335.268,33.526838,0,1000,335.268,334.618,337.721,0.600,0
3,run_03,335.288,33.528808,0,1000,335.288,334.621,337.137,0.591,0
4,run_04,335.227,33.522702,0,1000,335.227,334.626,337.929,0.586,0
5,run_05,335.273,33.527343,0,1000,335.273,334.627,337.744,0.603,0
6,run_06,335.247,33.524670,0,1000,335.247,334.626,338.066,0.603,0
7,run_07,335.240,33.524010,0,1000,335.240,334.622,337.306,0.585,0
8,run_08,335.237,33.523673,0,1000,335.237,334.613,336.975,0.561,0
9,run_09,335.257,33.525686,0,1000,335.257,334.627,337.090,0.582,0
10,run_10,335.258,33.525815,0,1000,335.258,334.626,337.140,0.579,0
11,run_11,335.245,33.524484,0,1000,335.245,334.627,337.407,0.572,0
12,run_12,335.276,33.527592,0,1000,335.276,334.627,337.586,0.593,0
13,run_13,335.256,33.525569,0,1000,335.256,334.626,337.051,0.600,0
14,run_14,335.259,33.525885,0,1000,335.259,334.627,337.495,0.593,0
15,run_15,335.246,33.524628,0,1000,335.246,334.620,337.384,0.585,0
16,run_16,335.234,33.523391,0,1000,335.234,334.621,337.231,0.589,0
17,run_17,335.244,33.524359,0,1000,335.244,334.625,336.971,0.570,0
18,run_18,335.279,33.527923,0,1000,335.279,334.622,337.462,0.589,0
19,run_19,335.296,33.529555,0,1000,335.296,334.625,337.187,0.591,0
20,run_20,335.296,33.529632,0,1000,335.296,334.624,337.202,0.604,0
