time_h,avg_ns
0.000009313,335.271
0.000018640,335.758
0.000027993,336.728
0.000037316,335.603
0.000046633,335.424
0.000055931,334.749
0.000065229,334.714
0.000074524,334.633
0.000083878,336.714
0.000093173,334.637
0.000102494,335.560
0.000111794,334.791
0.000121116,335.598
0.000130413,334.704
0.000139712,334.741
0.000149010,334.729
0.000158320,335.184
0.000167649,335.810
0.000177007,336.890
0.000186333,335.766
0.000195657,335.656
0.000204953,334.647
0.000214280,335.758
0.000223575,334.646
0.000232909,336.011
0.000242260,336.638
0.000251558,334.720
0.000260883,335.700
0.000270210,335.798
0.000279508,334.706
0.000288833,335.693
0.000298140,335.061
0.000307435,334.633
0.000316736,334.813
0.000326031,334.628
0.000335328,334.706
0.000344654,335.743
0.000353950,334.656
0.000363296,336.434
0.000372620,335.689
0.000381944,335.659
0.000391278,336.018
0.000400578,334.806
0.000409874,334.644
0.000419171,334.706
0.000428505,336.020
0.000437855,336.576
0.000447183,335.803
0.000456478,334.642
0.000465777,334.753
0.000475101,335.680
0.000484399,334.717
0.000493694,334.639
0.000502995,334.813
0.000512315,335.524
0.000521613,334.718
0.000530940,335.783
0.000540236,334.644
0.000549533,334.716
0.000558858,335.686
0.000568155,334.710
0.000577451,334.634
0.000586751,334.807
0.000596048,334.693
0.000605373,335.686
0.000614670,334.709
0.000623985,335.323
0.000633292,335.071
0.000642590,334.713
0.000651909,335.480
0.000661209,334.800
0.000670504,334.644
0.000679801,334.697
0.000689126,335.691
0.000698424,334.714
0.000707746,335.609
0.000717059,335.253
0.000726370,335.213
0.000735668,334.731
0.000744995,335.750
0.000754291,334.652
0.000763591,334.815
0.000772913,335.588
0.000782213,334.816
0.000791538,335.695
0.000800860,335.595
0.000810156,334.633
0.000819456,334.822
0.000828766,335.156
0.000838084,335.451
0.000847411,335.764
0.000856733,335.589
0.000866057,335.663
0.000875362,334.986
0.000884686,335.668
0.000893982,334.631
0.000903282,334.814
0.000912579,334.698
0.000921904,335.691
0.000931202,334.716
0.000940497,334.640
0.000949797,334.810
0.000959117,335.505
0.000968436,335.467
0.000977769,336.010
0.000987065,334.668
0.000996389,335.657
0.001005719,335.863
0.001015017,334.740
0.001024324,335.061
0.001033654,335.856
0.001042966,335.252
0.001052264,334.722
0.001061564,334.792
0.001070878,335.300
0.001080179,334.853
0.001089501,335.585
0.001098799,334.719
0.001108123,335.683
0.001117421,334.710
0.001126716,334.631
0.001136022,334.999
0.001145359,336.142
0.001154681,335.596
0.001163985,334.926
0.001173316,335.931
0.001182640,335.663
0.001191938,334.732
0.001201248,335.140
0.001210543,334.656
0.001219898,336.779
0.001229197,334.738
0.001238524,335.784
0.001247833,335.129
0.001257129,334.642
0.001266483,336.745
0.001275781,334.741
0.001285081,334.789
0.001294408,335.793
0.001303752,336.360
0.001313074,335.584
0.001322372,334.745
0.001331689,335.392
0.001341010,335.589
0.001350337,335.761
0.001359668,335.927
0.001368969,334.815
0.001378266,334.702
0.001387562,334.646
0.001396862,334.808
0.001406193,335.928
0.001415491,334.716
0.001424816,335.689
0.001434113,334.716
0.001443409,334.637
0.001452709,334.811
0.001462006,334.692
0.001471302,334.643
0.001480630,335.825
0.001489928,334.710
0.001499252,335.662
0.001508576,335.688
0.001517912,336.070
0.001527220,335.107
0.001536577,336.832
0.001545876,334.767
0.001555210,336.021
0.001564549,336.200
0.001573845,334.671
0.001583164,335.497
0.001592460,334.655
0.001601822,337.009
0.001611149,335.777
0.001620444,334.645
0.001629745,334.816
0.001639040,334.637
0.001648364,335.666
0.001657697,335.957
0.001667005,335.119
0.001676327,335.587
0.001685654,335.767
0.001694951,334.696
0.001704247,334.641
0.001713551,334.961
0.001722847,334.633
0.001732144,334.707
0.001741472,335.789
0.001750816,336.383
0.001760111,334.636
0.001769414,334.924
0.001778712,334.705
0.001788037,335.695
0.001797334,334.713
0.001806630,334.636
0.001815957,335.783
0.001825264,335.052
0.001834562,334.738
0.001843862,334.807
0.001853171,335.103
0.001862495,335.653
0.001871819,335.691
0.001881117,334.720
0.001890439,335.594
0.001899740,334.819
0.001909051,335.210
0.001918375,335.665
0.001927675,334.794
0.001936988,335.286
0.001946315,335.760
0.001955647,335.958
0.001964945,334.714
0.001974243,334.732
0.001983541,334.714
0.001992863,335.589
0.002002189,335.768
0.002011489,334.789
0.002020811,335.603
0.002030138,335.768
0.002039449,335.192
0.002048758,335.118
0.002058083,335.683
0.002067397,335.324
0.002076693,334.633
0.002086044,336.637
0.002095344,334.799
0.002104642,334.753
0.002113952,335.154
0.002123248,334.644
0.002132575,335.799
0.002141883,335.087
0.002151181,334.719
0.002160481,334.799
0.002169777,334.647
0.002179074,334.701
0.002188425,336.641
0.002197738,335.273
0.002207060,335.592
0.002216361,334.816
0.002225656,334.632
0.002234954,334.712
0.002244253,334.790
0.002253552,334.731
0.002262853,334.847
0.002272175,335.586
0.002281508,336.014
0.002290807,334.730
0.002300131,335.667
0.002309428,334.712
0.002318729,334.830
0.002328026,334.703
0.002337348,335.593
0.002346681,335.994
0.002356019,336.163
0.002365317,334.713
0.002374622,334.994
0.002383940,335.431
0.002393241,334.836
0.002402563,335.594
0.002411860,334.704
0.002421158,334.734
0.002430456,334.719
0.002439751,334.632
0.002449052,334.813
0.002458347,334.634
0.002467645,334.719
0.002476945,334.792
0.002486254,335.132
0.002495551,334.701
0.002504878,335.766
0.002514197,335.470
0.002523530,335.988
0.002532857,335.771
0.002542169,335.263
0.002551470,334.810
0.002560793,335.646
0.002570108,335.324
0.002579410,334.871
0.002588741,335.929
0.002598054,335.251
0.002607378,335.689
0.002616676,334.712
0.002625998,335.587
0.002635325,335.764
0.002644646,335.585
0.002653943,334.674
0.002663247,334.944
0.002672545,334.728
0.002681843,334.749
0.002691142,334.741
0.002700458,335.378
0.002709784,335.752
0.002719090,335.006
0.002728387,334.694
0.002737686,334.743
0.002746986,334.814
0.002756308,335.594
0.002765609,334.823
0.002774917,335.106
0.002784215,334.723
0.002793515,334.796
0.002802811,334.646
0.002812120,335.135
0.002821418,334.739
0.002830742,335.667
0.002840063,335.551
0.002849390,335.771
0.002858685,334.631
0.002867986,334.814
0.002877336,336.599
0.002886677,336.300
0.002895978,334.803
0.002905273,334.637
0.002914618,336.435
0.002923917,334.737
0.002933215,334.743
0.002942537,335.593
0.002951838,334.818
0.002961156,335.448
0.002970478,335.604
0.002979778,334.808
0.002989083,334.960
0.002998408,335.706
0.003007730,335.589
0.003017028,334.754
0.003026329,334.826
0.003035662,335.999
0.003044960,334.730
0.003054286,335.721
0.003063620,336.017
0.003072942,335.612
0.003082243,334.837
0.003091580,336.116
0.003100904,335.664
0.003110257,336.694
0.003119596,336.217
0.003128905,335.137
0.003138201,334.645
0.003147499,334.720
0.003156800,334.842
0.003166134,336.023
0.003175429,334.631
0.003184730,334.818
0.003194054,335.657
0.003203373,335.484
0.003212700,335.798
0.003222011,335.177
0.003231312,334.835
0.003240611,334.771
0.003249909,334.725
0.003259204,334.638
0.003268531,335.769
0.003277828,334.701
0.003287153,335.694
0.003296461,335.059
0.003305783,335.592
0.003315117,336.040
0.003324413,334.640
0.003333710,334.723
0.003343010,334.794
0.003352306,334.640
0.003361625,335.486
0.003370923,334.739
0.003380221,334.721
0.003389566,336.435
0.003398867,334.818
0.003408162,334.632
0.003417496,336.016
0.003426822,335.744
0.003436144,335.598
0.003445506,337.017
0.003454801,334.638
0.003464099,334.715
0.003473423,335.679
0.003482724,334.821
0.003492029,334.977
0.003501335,335.028
0.003510659,335.656
0.003519955,334.640
0.003529255,334.810
0.003538550,334.637
0.003547860,335.139
0.003557165,334.981
0.003566489,335.671
0.003575784,334.632
0.003585085,334.821
0.003594382,334.698
0.003603707,335.691
0.003613005,334.721
0.003622300,334.643
0.003631608,335.075
0.003640915,335.036
0.003650239,335.669
0.003659565,335.756
0.003668887,335.591
0.003678184,334.697
0.003687509,335.696
0.003696807,334.715
0.003706127,335.509
0.003715456,335.848
0.003724753,334.717
0.003734078,335.694
0.003743431,336.707
0.003752745,335.314
0.003762075,335.849
0.003771408,336.004
0.003780707,334.753
0.003790058,336.657
0.003799379,335.542
0.003808687,335.099
0.003818014,335.761
0.003827337,335.641
0.003836644,335.047
0.003845979,336.042
0.003855291,335.255
0.003864589,334.713
0.003873940,336.640
0.003883256,335.394
0.003892564,335.063
0.003901886,335.597
0.003911198,335.236
0.003920523,335.696
0.003929847,335.666
0.003939142,334.640
0.003948443,334.819
0.003957760,335.398
0.003967086,335.758
0.003976413,335.757
0.003985725,335.241
0.003995049,335.644
0.004004400,336.645
0.004013698,334.720
0.004022996,334.758
0.004032332,336.091
0.004041628,334.632
0.004050929,334.854
0.004060227,334.711
0.004069523,334.668
0.004078823,334.814
0.004088119,334.641
0.004097416,334.713
0.004106718,334.862
0.004116037,335.474
0.004125332,334.633
0.004134659,335.764
0.004143956,334.699
0.004153262,335.007
0.004162572,335.144
0.004171885,335.278
0.004181238,336.714
0.004190560,335.590
0.004199858,334.718
0.004209160,334.894
0.004218506,336.458
0.004227852,336.457
0.004237177,335.696
0.004246475,334.715
0.004255770,334.633
0.004265073,334.910
0.004274421,336.534
0.004283719,334.718
0.004293046,335.751
0.004302341,334.640
0.004311661,335.513
0.004320957,334.657
0.004330261,334.958
0.004339562,334.808
0.004348887,335.709
0.004358203,335.391
0.004367530,335.771
0.004376880,336.608
0.004386199,335.480
0.004395500,334.805
0.004404810,335.188
0.004414133,335.608
