19,0.00 0.00 0.00 1/52 93
49,0.65 0.15 0.05 4/57 103
79,1.58 0.42 0.14 4/57 105
109,2.14 0.67 0.24 4/57 107
139,2.48 0.89 0.33 4/57 111
169,2.69 1.10 0.41 4/57 113
199,2.81 1.28 0.50 4/57 115
229,2.89 1.44 0.58 4/57 119
259,2.93 1.59 0.66 4/57 121
289,2.96 1.73 0.73 4/57 123
319,2.98 1.85 0.80 4/52 127
349,2.99 1.96 0.88 4/52 129
379,2.99 2.06 0.94 4/52 131
410,3.00 2.16 1.01 4/52 135
440,3.07 2.25 1.08 4/52 137
470,3.04 2.33 1.14 4/52 139
500,3.02 2.39 1.20 4/52 143
530,3.01 2.45 1.26 4/52 145
560,3.01 2.51 1.32 4/52 147
590,3.00 2.55 1.37 4/52 151
620,3.00 2.60 1.43 4/53 154
650,3.00 2.64 1.48 4/53 156
680,3.00 2.67 1.53 4/53 160
710,3.00 2.71 1.58 4/53 162
740,3.00 2.74 1.62 4/53 164
770,3.00 2.76 1.67 4/53 166
800,3.00 2.79 1.71 4/53 170
830,3.00 2.81 1.75 4/53 172
860,3.00 2.83 1.80 4/53 174
890,3.00 2.85 1.84 4/53 178
920,3.00 2.86 1.87 4/52 180
950,3.00 2.88 1.91 4/53 183
980,3.00 2.89 1.95 4/53 187
1010,3.00 2.90 1.98 4/53 189
1040,3.00 2.91 2.02 4/53 191
1070,3.00 2.92 2.05 4/53 195
1100,3.00 2.93 2.08 4/53 197
1130,3.00 2.94 2.11 4/53 199
1160,3.00 2.95 2.14 4/53 203
1190,3.00 2.95 2.17 4/53 205
1220,3.00 2.96 2.20 4/53 207
1251,3.00 2.96 2.22 4/52 211
1281,3.00 2.97 2.25 4/52 213
1311,3.00 2.97 2.28 4/52 215
1341,3.00 2.98 2.30 4/52 219
1371,3.00 2.98 2.32 4/52 221
1401,3.00 2.98 2.35 4/52 223
1431,3.00 2.98 2.37 4/52 227
1461,3.00 2.99 2.39 4/52 229
1491,3.00 2.99 2.41 4/52 231
1521,3.00 2.99 2.43 4/52 235
1551,3.00 3.00 2.45 4/52 237
1581,3.00 3.00 2.47 4/52 239
1611,3.00 3.00 2.49 4/52 243
1641,3.00 3.00 2.50 4/52 245
1671,3.00 3.00 2.52 4/52 247
1701,3.00 3.00 2.54 4/52 249
1731,3.00 3.00 2.56 4/52 253
1761,3.00 3.00 2.57 4/52 255
1791,3.00 3.00 2.58 4/52 257
1821,3.00 3.00 2.60 4/52 261
1851,3.00 3.00 2.61 4/52 263
1881,3.00 3.00 2.63 4/52 265
1911,3.00 3.00 2.64 4/52 269
1941,3.00 3.00 2.65 4/52 271
1971,3.00 3.00 2.67 4/52 273
2001,3.00 3.00 2.68 4/52 277
2032,3.00 3.00 2.69 4/53 280
2062,3.00 3.00 2.70 4/53 282
2092,3.00 3.00 2.71 4/53 286
2122,3.00 3.00 2.72 4/53 288
2152,3.00 3.00 2.73 4/53 290
2182,3.00 3.00 2.74 4/53 294
2212,3.00 3.00 2.75 4/53 296
2242,3.00 3.00 2.76 4/53 298
2272,3.00 3.00 2.77 4/53 302
2302,3.06 3.02 2.78 4/53 304
2332,3.04 3.01 2.79 4/52 306
2362,3.02 3.01 2.80 4/52 310
2392,3.01 3.01 2.81 4/52 312
2422,3.01 3.00 2.82 4/53 315
2452,3.00 3.00 2.82 4/53 319
2482,3.00 3.00 2.83 4/53 321
2512,3.00 3.00 2.84 4/53 323
2542,3.00 3.00 2.84 4/53 327
2572,3.00 3.00 2.85 4/53 329
2602,3.00 3.00 2.85 4/53 331
2632,3.00 3.00 2.86 4/53 335
2662,3.00 3.00 2.87 4/53 337
2692,3.00 3.00 2.87 4/53 339
2722,3.00 3.00 2.88 4/52 343
2752,3.00 3.00 2.88 4/52 345
2783,3.00 3.00 2.89 4/52 347
2813,3.00 3.00 2.89 4/52 351
2843,3.00 3.00 2.90 4/52 353
2873,3.00 3.00 2.91 4/52 355
2903,3.00 3.00 2.91 4/52 359
2933,3.00 3.00 2.91 4/52 361
2963,3.00 3.00 2.92 4/52 363
2993,3.00 3.00 2.92 4/52 365
3023,3.00 3.00 2.92 4/52 369
3053,3.00 3.00 2.93 4/52 371
3083,3.00 3.00 2.93 4/52 373
3113,3.00 3.00 2.93 4/52 377
3143,3.00 3.00 2.93 4/53 380
3173,3.00 3.00 2.94 4/53 382
3203,3.00 3.00 2.94 4/53 386
3233,3.00 3.00 2.94 4/53 388
3263,3.00 3.00 2.95 4/53 390
3293,3.00 3.00 2.95 4/53 394
3323,3.00 3.00 2.95 4/53 396
3353,3.00 3.00 2.95 4/53 398
3383,3.00 3.00 2.96 4/53 402
3413,3.00 3.00 2.96 4/53 404
3443,3.00 3.00 2.96 4/52 406
3473,3.00 3.00 2.97 4/52 410
3503,3.00 3.00 2.97 4/52 412
3533,3.00 3.00 2.97 4/52 414
3563,3.00 3.00 2.98 4/53 419
3594,3.00 3.00 2.98 4/53 421
3624,3.00 3.00 2.98 4/53 423
3654,3.00 3.00 2.98 4/53 427
3684,3.00 3.00 2.99 4/53 429
3714,3.00 3.00 2.99 4/53 431
3744,3.00 3.00 2.99 4/53 433
3774,3.00 3.00 3.00 4/53 437
3804,3.00 3.00 3.00 4/53 439
3834,3.00 3.00 3.00 4/53 441
3864,3.00 3.00 3.00 4/52 445
3894,3.00 3.00 3.00 4/53 448
3924,3.00 3.00 3.00 4/53 450
3954,3.00 3.00 3.00 4/53 454
3984,3.00 3.00 3.00 4/53 456
4014,3.00 3.00 3.00 4/54 459
4044,3.00 3.00 3.00 4/54 463
4074,3.00 3.00 3.00 4/54 465
4104,3.00 3.00 3.00 4/54 467
4134,3.00 3.00 3.00 4/54 471
4164,3.00 3.00 3.00 4/54 473
4194,3.00 3.00 3.00 4/53 475
4224,3.00 3.00 3.00 4/54 480
4254,3.00 3.00 3.00 4/54 482
4284,3.00 3.00 3.00 4/54 484
4314,3.00 3.00 3.00 4/53 488
4344,3.00 3.00 3.00 4/53 490
4374,3.00 3.00 3.00 4/53 492
4405,3.00 3.00 3.00 4/53 496
4435,3.00 3.00 3.00 4/53 498
4465,3.00 3.00 3.00 4/53 500
4495,3.00 3.00 3.00 4/53 504
4525,3.00 3.00 3.00 4/52 506
4555,3.00 3.00 3.00 4/52 508
4585,3.00 3.00 3.00 4/52 512
