766,0.00 0.00 0.00 1/47 105
796,0.00 0.00 0.00 1/47 107
826,0.00 0.00 0.00 1/47 109
856,0.08 0.02 0.01 2/50 116
886,0.44 0.11 0.04 2/51 119
916,0.66 0.20 0.07 2/51 123
946,0.80 0.28 0.10 2/51 125
976,0.88 0.35 0.13 2/51 129
1006,0.93 0.41 0.16 2/51 131
1036,0.96 0.47 0.19 2/51 135
1066,0.97 0.52 0.21 2/51 137
1096,0.99 0.57 0.24 2/51 141
1126,0.99 0.61 0.27 2/51 143
1156,1.00 0.65 0.29 2/51 147
1186,1.00 0.68 0.32 2/50 149
1216,1.00 0.72 0.34 2/50 153
1246,1.16 0.78 0.37 2/51 156
1276,1.10 0.80 0.39 2/51 160
1306,1.06 0.82 0.41 2/51 162
1336,1.03 0.84 0.43 2/51 166
1366,1.02 0.86 0.45 2/51 168
1396,1.01 0.87 0.47 2/51 170
1426,1.00 0.88 0.49 2/51 174
1456,1.00 0.90 0.51 2/51 176
1486,1.00 0.91 0.53 2/51 180
1516,1.00 0.92 0.54 2/51 182
1546,1.00 0.93 0.56 2/50 186
1576,1.00 0.94 0.57 2/50 188
1606,1.00 0.94 0.59 2/50 192
1636,1.00 0.95 0.60 2/51 195
1666,1.00 0.95 0.62 2/51 199
1696,1.00 0.96 0.63 2/51 201
1726,1.00 0.97 0.64 2/51 205
1756,1.00 0.97 0.66 2/51 207
1786,1.00 0.97 0.67 2/51 211
1816,1.00 0.98 0.68 2/51 213
1846,1.00 0.98 0.69 2/51 217
1876,1.00 0.98 0.70 2/51 219
1906,1.00 0.99 0.71 2/51 223
1936,1.00 0.99 0.73 2/50 225
1966,1.00 0.99 0.74 2/50 229
1996,1.00 1.00 0.74 2/51 232
2026,1.00 1.00 0.75 2/51 236
2056,1.00 1.00 0.76 2/51 238
2086,1.00 1.00 0.77 2/51 242
2116,1.00 1.00 0.78 2/51 244
2146,1.00 1.00 0.79 2/51 248
2176,1.00 1.00 0.80 2/51 250
2206,1.00 1.00 0.81 2/51 254
2236,1.00 1.00 0.81 2/51 256
2266,1.00 1.00 0.82 2/51 260
2296,1.00 1.00 0.83 2/50 262
2326,1.00 1.00 0.83 2/50 266
2356,1.00 1.00 0.84 2/51 269
2386,1.00 1.00 0.85 2/51 273
2416,1.00 1.00 0.85 2/51 275
2446,1.00 1.00 0.86 2/51 279
2476,1.00 1.00 0.86 2/51 281
2506,1.00 1.00 0.87 2/51 285
2536,1.00 1.00 0.87 2/51 287
2566,1.00 1.00 0.88 2/51 291
2596,1.00 1.00 0.89 2/51 293
2626,1.00 1.00 0.89 2/51 297
2656,1.00 1.00 0.90 2/50 299
2686,1.00 1.00 0.90 2/50 303
2716,1.00 1.00 0.91 2/50 305
2746,1.00 1.00 0.91 2/50 309
2776,1.00 1.00 0.92 2/50 311
2806,1.00 1.00 0.92 2/50 315
2836,1.00 1.00 0.92 2/50 317
2866,1.00 1.00 0.92 2/50 321
2897,1.07 1.02 0.93 2/51 324
2927,1.04 1.01 0.94 2/51 328
2957,1.02 1.01 0.94 2/51 330
2987,1.01 1.01 0.94 2/51 334
3017,1.01 1.00 0.94 2/51 336
3047,1.00 1.00 0.95 2/51 340
3077,1.00 1.00 0.95 2/51 342
3107,1.00 1.00 0.95 2/51 346
3137,1.00 1.00 0.96 2/51 348
3167,1.00 1.00 0.96 2/51 352
3197,1.00 1.00 0.96 2/50 354
3227,1.00 1.00 0.96 2/50 358
3257,1.00 1.00 0.97 2/51 361
3287,1.00 1.00 0.97 2/51 365
3317,1.00 1.00 0.97 2/51 367
3347,1.00 1.00 0.98 2/51 371
3377,1.00 1.00 0.98 2/51 373
3407,1.00 1.00 0.98 2/51 377
3437,1.00 1.00 0.99 2/51 379
3467,1.00 1.00 0.99 2/51 383
3497,1.00 1.00 0.99 2/51 385
3527,1.00 1.00 0.99 2/51 389
3557,1.00 1.00 1.00 2/50 391
3587,1.00 1.00 1.00 2/50 395
3617,1.00 1.00 1.00 2/51 398
3647,1.00 1.00 1.00 2/51 402
3677,1.00 1.00 1.00 2/51 404
3707,1.00 1.00 1.00 2/51 408
3737,1.00 1.00 1.00 2/51 410
3767,1.00 1.00 1.00 2/51 414
3797,1.00 1.00 1.00 2/51 416
3827,1.00 1.00 1.00 2/51 420
3857,1.00 1.00 1.00 2/51 422
3887,1.00 1.00 1.00 2/51 426
3917,1.00 1.00 1.00 2/51 428
3947,1.00 1.00 1.00 2/50 432
3977,1.00 1.00 1.00 2/50 434
4007,1.00 1.00 1.00 2/50 436
4037,1.00 1.00 1.00 2/50 440
4067,1.00 1.00 1.00 2/50 442
4097,1.00 1.00 1.00 2/50 446
4127,1.00 1.00 1.00 2/50 448
4157,1.00 1.00 1.00 2/50 452
4187,1.00 1.00 1.00 2/51 455
4217,1.00 1.00 1.00 2/51 459
4247,1.00 1.00 1.00 2/51 461
4277,1.00 1.00 1.00 2/51 465
4307,1.00 1.00 1.00 2/51 467
4337,1.00 1.00 1.00 2/51 471
4367,1.00 1.00 1.00 2/51 473
4397,1.00 1.00 1.00 2/51 477
4427,1.00 1.00 1.00 2/51 479
4457,1.00 1.00 1.00 2/51 483
4487,1.00 1.00 1.00 2/50 485
