block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,33624678,336.247,0
1,100000,100000,33472902,334.729,0
2,200000,100000,33473725,334.737,0
3,300000,100000,33488256,334.883,0
4,400000,100000,33615570,336.156,0
5,500000,100000,33516919,335.169,0
6,600000,100000,33481878,334.819,0
7,700000,100000,33612762,336.128,0
8,800000,100000,33565555,335.656,0
9,900000,100000,33480018,334.800,0
10,1000000,100000,33621216,336.212,0
11,1100000,100000,33582373,335.824,0
12,1200000,100000,33559584,335.596,0
13,1300000,100000,33471324,334.713,0
14,1400000,100000,33630097,336.301,0
15,1500000,100000,33517284,335.173,0
16,1600000,100000,33634698,336.347,0
17,1700000,100000,33481897,334.819,0
18,1800000,100000,33571560,335.716,0
19,1900000,100000,33642246,336.422,0
20,2000000,100000,33480973,334.810,0
21,2100000,100000,33469338,334.693,0
22,2200000,100000,33601122,336.011,0
23,2300000,100000,33473257,334.733,0
24,2400000,100000,33544794,335.448,0
25,2500000,100000,33499896,334.999,0
26,2600000,100000,33578419,335.784,0
27,2700000,100000,33469146,334.691,0
28,2800000,100000,33479700,334.797,0
29,2900000,100000,33471841,334.718,0
30,3000000,100000,33463242,334.632,0
31,3100000,100000,33581220,335.812,0
32,3200000,100000,33464155,334.642,0
33,3300000,100000,33470952,334.710,0
34,3400000,100000,33484752,334.848,0
35,3500000,100000,33501379,335.014,0
36,3600000,100000,33567900,335.679,0
37,3700000,100000,33492990,334.930,0
38,3800000,100000,33526543,335.265,0
39,3900000,100000,33593652,335.937,0
40,4000000,100000,33481302,334.813,0
41,4100000,100000,33634345,336.343,0
42,4200000,100000,33566784,335.668,0
43,4300000,100000,33670218,336.702,0
44,4400000,100000,33565897,335.659,0
45,4500000,100000,33619452,336.195,0
46,4600000,100000,33560760,335.608,0
47,4700000,100000,33478693,334.787,0
48,4800000,100000,33584232,335.842,0
49,4900000,100000,33519402,335.194,0
50,5000000,100000,33462997,334.630,0
51,5100000,100000,33501360,335.014,0
52,5200000,100000,33564738,335.647,0
