block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,33546055,335.461,0
1,100000,100000,33479394,334.794,0
2,200000,100000,33465192,334.652,0
3,300000,100000,33540379,335.404,0
4,400000,100000,33470394,334.704,0
5,500000,100000,33549774,335.498,0
6,600000,100000,33462145,334.621,0
7,700000,100000,33563718,335.637,0
8,800000,100000,33517398,335.174,0
9,900000,100000,33564673,335.647,0
10,1000000,100000,33454806,334.548,0
11,1100000,100000,33462114,334.621,0
12,1200000,100000,33557473,335.575,0
13,1300000,100000,33462588,334.626,0
14,1400000,100000,33511302,335.113,0
15,1500000,100000,33599431,335.994,0
16,1600000,100000,33544530,335.445,0
17,1700000,100000,33551154,335.512,0
18,1800000,100000,33580525,335.805,0
19,1900000,100000,33626688,336.267,0
20,2000000,100000,33599508,335.995,0
21,2100000,100000,33470689,334.707,0
22,2200000,100000,33521652,335.217,0
23,2300000,100000,33569454,335.695,0
24,2400000,100000,33478645,334.786,0
25,2500000,100000,33462138,334.621,0
26,2600000,100000,33463992,334.640,0
27,2700000,100000,33472411,334.724,0
28,2800000,100000,33556596,335.566,0
29,2900000,100000,33499434,334.994,0
30,3000000,100000,33542029,335.420,0
31,3100000,100000,33539436,335.394,0
32,3200000,100000,33486594,334.866,0
33,3300000,100000,33455647,334.556,0
34,3400000,100000,33555606,335.556,0
35,3500000,100000,33462624,334.626,0
36,3600000,100000,33557581,335.576,0
37,3700000,100000,33496230,334.962,0
38,3800000,100000,33477636,334.776,0
39,3900000,100000,33454915,334.549,0
40,4000000,100000,33462156,334.622,0
41,4100000,100000,33468642,334.686,0
42,4200000,100000,33518395,335.184,0
43,4300000,100000,33564846,335.648,0
44,4400000,100000,33455298,334.553,0
45,4500000,100000,33461929,334.619,0
46,4600000,100000,33467568,334.676,0
47,4700000,100000,33462834,334.628,0
48,4800000,100000,33526945,335.269,0
49,4900000,100000,33502512,335.025,0
50,5000000,100000,33555984,335.560,0
51,5100000,100000,33456211,334.562,0
52,5200000,100000,33626976,336.270,0
53,5300000,100000,33457068,334.571,0
54,5400000,100000,33558139,335.581,0
55,5500000,100000,33468420,334.684,0
