block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,34312609,343.126,0
1,100000,100000,34121592,341.216,0
2,200000,100000,33915204,339.152,0
3,300000,100000,34205545,342.055,0
4,400000,100000,34074456,340.745,0
5,500000,100000,33923442,339.234,0
6,600000,100000,34066369,340.664,0
7,700000,100000,34255554,342.556,0
8,800000,100000,33581568,335.816,0
9,900000,100000,34923703,349.237,0
10,1000000,100000,34157574,341.576,0
11,1100000,100000,34113618,341.136,0
12,1200000,100000,34208785,342.088,0
13,1300000,100000,34009950,340.099,0
14,1400000,100000,33970080,339.701,0
15,1500000,100000,34194757,341.948,0
16,1600000,100000,34068846,340.688,0
17,1700000,100000,34239390,342.394,0
18,1800000,100000,34158139,341.581,0
19,1900000,100000,34268058,342.681,0
20,2000000,100000,33928002,339.280,0
21,2100000,100000,34046311,340.463,0
22,2200000,100000,34239798,342.398,0
23,2300000,100000,33978600,339.786,0
24,2400000,100000,33954859,339.549,0
25,2500000,100000,34335780,343.358,0
26,2600000,100000,34024374,340.244,0
27,2700000,100000,33948763,339.488,0
28,2800000,100000,34105236,341.052,0
29,2900000,100000,34180692,341.807,0
30,3000000,100000,33945187,339.452,0
31,3100000,100000,34117578,341.176,0
32,3200000,100000,34203474,342.035,0
33,3300000,100000,33977719,339.777,0
34,3400000,100000,34087884,340.879,0
35,3500000,100000,34288248,342.882,0
36,3600000,100000,33929569,339.296,0
37,3700000,100000,34120602,341.206,0
38,3800000,100000,34215607,342.156,0
39,3900000,100000,34007880,340.079,0
40,4000000,100000,33909720,339.097,0
41,4100000,100000,33942037,339.420,0
42,4200000,100000,34482492,344.825,0
43,4300000,100000,33885984,338.860,0
44,4400000,100000,34356529,343.565,0
45,4500000,100000,34223424,342.234,0
46,4600000,100000,34118856,341.189,0
47,4700000,100000,33999025,339.990,0
48,4800000,100000,34072116,340.721,0
49,4900000,100000,33994536,339.945,0
50,5000000,100000,34058377,340.584,0
51,5100000,100000,34404246,344.042,0
52,5200000,100000,34043730,340.437,0
53,5300000,100000,34259695,342.597,0
54,5400000,100000,33974562,339.746,0
55,5500000,100000,33943956,339.440,0
56,5600000,100000,34039723,340.397,0
57,5700000,100000,34157364,341.574,0
58,5800000,100000,34070082,340.701,0
59,5900000,100000,33976471,339.765,0
60,6000000,100000,34117710,341.177,0
61,6100000,100000,34165362,341.654,0
62,6200000,100000,33949327,339.493,0
63,6300000,100000,34195692,341.957,0
64,6400000,100000,34120914,341.209,0
65,6500000,100000,33945673,339.457,0
66,6600000,100000,34020678,340.207,0
67,6700000,100000,34302054,343.021,0
68,6800000,100000,34065787,340.658,0
69,6900000,100000,33964938,339.649,0
70,7000000,100000,34236654,342.367,0
71,7100000,100000,33979957,339.800,0
72,7200000,100000,33947574,339.476,0
73,7300000,100000,34133076,341.331,0
74,7400000,100000,34132801,341.328,0
75,7500000,100000,33573486,335.735,0
76,7600000,100000,34774644,347.746,0
77,7700000,100000,34131955,341.320,0
78,7800000,100000,34311504,343.115,0
79,7900000,100000,34056948,340.569,0
80,8000000,100000,34014025,340.140,0
81,8100000,100000,34034334,340.343,0
82,8200000,100000,34029450,340.295,0
83,8300000,100000,34100017,341.000,0
84,8400000,100000,34259748,342.597,0
85,8500000,100000,34210440,342.104,0
86,8600000,100000,33969001,339.690,0
87,8700000,100000,34025358,340.254,0
88,8800000,100000,34272666,342.727,0
89,8900000,100000,33946117,339.461,0
90,9000000,100000,33964392,339.644,0
91,9100000,100000,34041126,340.411,0
92,9200000,100000,34298569,342.986,0
93,9300000,100000,33984276,339.843,0
94,9400000,100000,33926706,339.267,0
95,9500000,100000,34544755,345.448,0
96,9600000,100000,34038720,340.387,0
97,9700000,100000,33946063,339.461,0
98,9800000,100000,34245168,342.452,0
99,9900000,100000,34064190,340.642,0
100,10000000,100000,33911497,339.115,0
101,10100000,100000,34217604,342.176,0
102,10200000,100000,34061898,340.619,0
103,10300000,100000,33912469,339.125,0
104,10400000,100000,34109856,341.099,0
105,10500000,100000,34164258,341.643,0
106,10600000,100000,33918907,339.189,0
107,10700000,100000,33962316,339.623,0
108,10800000,100000,33965796,339.658,0
109,10900000,100000,34669717,346.697,0
110,11000000,100000,33932022,339.320,0
111,11100000,100000,34241688,342.417,0
112,11200000,100000,34222027,342.220,0
113,11300000,100000,34109982,341.100,0
114,11400000,100000,34188198,341.882,0
115,11500000,100000,34057303,340.573,0
116,11600000,100000,34127976,341.280,0
117,11700000,100000,34121928,341.219,0
118,11800000,100000,34253959,342.540,0
119,11900000,100000,33644958,336.450,0
120,12000000,100000,34348920,343.489,0
121,12100000,100000,34119229,341.192,0
122,12200000,100000,34030248,340.302,0
123,12300000,100000,34141548,341.415,0
124,12400000,100000,33924289,339.243,0
125,12500000,100000,34012896,340.129,0
126,12600000,100000,34292550,342.925,0
127,12700000,100000,33925291,339.253,0
128,12800000,100000,33921492,339.215,0
129,12900000,100000,34201866,342.019,0
130,13000000,100000,34089535,340.895,0
131,13100000,100000,34011102,340.111,0
132,13200000,100000,34050786,340.508,0
133,13300000,100000,34220395,342.204,0
134,13400000,100000,34008528,340.085,0
135,13500000,100000,34081848,340.818,0
136,13600000,100000,34195645,341.956,0
137,13700000,100000,33918804,339.188,0
138,13800000,100000,34046706,340.467,0
139,13900000,100000,34218343,342.183,0
140,14000000,100000,33953226,339.532,0
141,14100000,100000,33969558,339.696,0
142,14200000,100000,34011967,340.120,0
143,14300000,100000,34655190,346.552,0
144,14400000,100000,33848982,338.490,0
145,14500000,100000,34347379,343.474,0
146,14600000,100000,34074684,340.747,0
147,14700000,100000,34179048,341.790,0
