block,first_iter,iters,elapsed_ns,avg_ns,mismatches
0,0,100000,33639234,336.392,0
1,100000,100000,53528635,535.286,0
2,200000,100000,73501932,735.019,0
3,300000,100000,63517495,635.175,0
4,400000,100000,73539223,735.392,0
5,500000,100000,53504520,535.045,0
6,600000,100000,73511485,735.115,0
7,700000,100000,73632919,736.329,0
8,800000,100000,43498590,434.986,0
9,900000,100000,33501961,335.020,0
10,1000000,100000,33490848,334.908,0
11,1100000,100000,33543540,335.435,0
12,1200000,100000,53527039,535.270,0
13,1300000,100000,63509874,635.099,0
14,1400000,100000,33479965,334.800,0
15,1500000,100000,33493494,334.935,0
16,1600000,100000,33771942,337.719,0
17,1700000,100000,33487087,334.871,0
18,1800000,100000,33517032,335.170,0
19,1900000,100000,73498243,734.982,0
20,2000000,100000,63517134,635.171,0
21,2100000,100000,33593155,335.932,0
22,2200000,100000,33464274,334.643,0
23,2300000,100000,33571794,335.718,0
24,2400000,100000,73534111,735.341,0
25,2500000,100000,53513233,535.132,0
26,2600000,100000,73529766,735.298,0
27,2700000,100000,73513069,735.131,0
28,2800000,100000,53600881,536.009,0
29,2900000,100000,63521322,635.213,0
30,3000000,100000,33553801,335.538,0
31,3100000,100000,33477846,334.778,0
32,3200000,100000,43604742,436.047,0
33,3300000,100000,63509299,635.093,0
34,3400000,100000,63500689,635.007,0
35,3500000,100000,33486120,334.861,0
36,3600000,100000,33477894,334.779,0
37,3700000,100000,33572179,335.722,0
38,3800000,100000,83556114,835.561,0
39,3900000,100000,63506203,635.062,0
40,4000000,100000,53526385,535.264,0
41,4100000,100000,73529916,735.299,0
42,4200000,100000,63517333,635.173,0
43,4300000,100000,63538357,635.384,0
44,4400000,100000,33476976,334.770,0
45,4500000,100000,33559338,335.593,0
46,4600000,100000,33501175,335.012,0
47,4700000,100000,73589616,735.896,0
48,4800000,100000,63516931,635.169,0
49,4900000,100000,33498480,334.985,0
50,5000000,100000,33559303,335.593,0
51,5100000,100000,33476160,334.762,0
52,5200000,100000,63633265,636.333,0
53,5300000,100000,63508794,635.088,0
54,5400000,100000,63501841,635.018,0
55,5500000,100000,83544187,835.442,0
56,5600000,100000,53594868,535.949,0
57,5700000,100000,83536657,835.367,0
58,5800000,100000,63507985,635.080,0
59,5900000,100000,33473244,334.732,0
60,6000000,100000,33480144,334.801,0
61,6100000,100000,33457837,334.578,0
62,6200000,100000,33543840,335.438,0
63,6300000,100000,63606271,636.063,0
64,6400000,100000,63509904,635.099,0
65,6500000,100000,43488667,434.887,0
66,6600000,100000,33582972,335.830,0
67,6700000,100000,33467856,334.679,0
68,6800000,100000,43487647,434.876,0
69,6900000,100000,83525041,835.250,0
