campaign,runs,iters,warmup,mean_avg_ns,stddev_avg_ns,min_avg_ns,max_avg_ns,total_elapsed_s,total_mismatches
t11-rw-1h-60rep,60,180000000,1000000,335.179650,0.024080,335.144000,335.259000,3619.941,0
t11-rw-2h-120rep,120,180000000,1000000,335.166267,0.042394,335.058000,335.287000,7239.591,0
