run,run_dir,n_blocks,mean_avg_ns,min_avg_ns,max_avg_ns,std_avg_ns,mismatches,elapsed_s
1,run_01,1800,335.261,334.610,337.495,0.591,0,60.346975
2,run_02,1800,335.279,334.623,337.581,0.602,0,60.350148
3,run_03,1800,335.275,334.625,337.442,0.598,0,60.349488
4,run_04,1800,335.252,334.624,337.431,0.569,0,60.345416
5,run_05,1800,335.265,334.621,337.464,0.584,0,60.347753
6,run_06,1800,335.236,334.622,337.725,0.586,0,60.342542
7,run_07,1800,335.256,334.625,337.271,0.589,0,60.346138
8,run_08,1800,335.272,334.622,337.632,0.601,0,60.348998
9,run_09,1800,335.264,334.628,337.350,0.595,0,60.347500
10,run_10,1800,335.265,334.625,337.509,0.597,0,60.347702
11,run_11,1800,335.280,334.625,337.346,0.602,0,60.350419
12,run_12,1800,335.250,334.625,337.332,0.595,0,60.345053
13,run_13,1800,335.242,334.624,337.105,0.575,0,60.343625
14,run_14,1800,335.235,334.625,337.834,0.578,0,60.342257
15,run_15,1800,335.264,334.625,337.310,0.603,0,60.347566
16,run_16,1800,335.233,334.625,337.474,0.581,0,60.341995
17,run_17,1800,335.274,334.625,337.493,0.585,0,60.349325
18,run_18,1800,335.250,334.621,337.419,0.589,0,60.345012
19,run_19,1800,335.265,334.624,337.335,0.589,0,60.347768
20,run_20,1800,335.281,334.629,337.357,0.585,0,60.350629
