run,run_dir,avg_ns,elapsed_s,mismatches,trace_blocks,trace_mean_ns,trace_min_ns,trace_max_ns,trace_std_ns,trace_mismatches
1,run_01,335.261,60.346975,0,1800,335.261,334.610,337.495,0.591,0
2,run_02,335.279,60.350148,0,1800,335.279,334.623,337.581,0.602,0
3,run_03,335.275,60.349488,0,1800,335.275,334.625,337.442,0.598,0
4,run_04,335.252,60.345416,0,1800,335.252,334.624,337.431,0.569,0
5,run_05,335.265,60.347753,0,1800,335.265,334.621,337.464,0.584,0
6,run_06,335.236,60.342542,0,1800,335.236,334.622,337.725,0.586,0
7,run_07,335.256,60.346138,0,1800,335.256,334.625,337.271,0.589,0
8,run_08,335.272,60.348998,0,1800,335.272,334.622,337.632,0.601,0
9,run_09,335.264,60.347500,0,1800,335.264,334.628,337.350,0.595,0
10,run_10,335.265,60.347702,0,1800,335.265,334.625,337.509,0.597,0
11,run_11,335.280,60.350419,0,1800,335.280,334.625,337.346,0.602,0
12,run_12,335.250,60.345053,0,1800,335.250,334.625,337.332,0.595,0
13,run_13,335.242,60.343625,0,1800,335.242,334.624,337.105,0.575,0
14,run_14,335.235,60.342257,0,1800,335.235,334.625,337.834,0.578,0
15,run_15,335.264,60.347566,0,1800,335.264,334.625,337.310,0.603,0
16,run_16,335.233,60.341995,0,1800,335.233,334.625,337.474,0.581,0
17,run_17,335.274,60.349325,0,1800,335.274,334.625,337.493,0.585,0
18,run_18,335.250,60.345012,0,1800,335.250,334.621,337.419,0.589,0
19,run_19,335.265,60.347768,0,1800,335.265,334.624,337.335,0.589,0
20,run_20,335.281,60.350629,0,1800,335.281,334.629,337.357,0.585,0
